cause,effect,explanation
The experimenter is examining the rays in the wood.,The experimenter selected both kinds of wood.,Wood has rays.
Jackson wanted to study the creatures of the human family.,Jackson's professor recommended him to study hominids.,Hominids are one of the most common members of the mammalian family.
Grandma and the bank signed a trust agreement.,No one other than grandma can know the contents of the document.,Trusts contain documents.
Tom has a healthy heart.,He has a good blood circulation in his body.,Cardiacs are vital to the health of the heart.
Tom's restaurant is not doing well.,He took to the streets to drum up customers.,Restaurants attract customers.
China is getting better and better.,Chinese will no longer be bullied.,Bullying is a natural part of life in the developing world.
The sound of farting suddenly echoes in the quiet classroom.,The whole classroom burst into laughter.,Farting is a common cause of laughter.
"In order to make resonance, Tom tries to shake a tub of water with different frequencies.",The water keeps vibrating without his shaking as he tries the same frequency as the water has.,Reverbance is the vibration of water without shaking.
There are many molas in the sea.,Molas are easily bitten by other fish.,Molas feed on fish.
This research needs a sessile animal.,The teacher suggested that they choose crinoids.,Crinoids are one of the most abundant animals on earth.
Tom saw the grass germinate.,"A few days later, Tom observed the taproot of the grass.",Taproots produce germination.
Billy is reading about fat.,Billy reads about lipids in his reading.,Lipids are a group of fatty acids found in the blood.
I compared the faces of a cougar and a cat.,I thought they have similar faces.,Cougars have similar facial features.
Jane is a master of Selvage.,The finished lengthwise edges of her fabric works were always wonderful.,Selvage is the complete lengthwise edge of a fabric.
Tom threw a piece of glass onto the quartz. .,The glass broke into pieces. .,Quartz is made of quartz.
The lactating woman took hydrazine.,The baby had related adverse reactions.,Hydrazine can have adverse effects.
Harvests make farmers happy.,Farmers like autumn.,Farms produce annual crops.
There are many tools in front of the tree.,Tom recognizes the stick at once.,Sticks have sharp edges.
This thruse has hurt its wings.,It has difficulty in flying.,Faces cause problems.
Tom is willing to offer help.,He often assists people.,Assistants provide assistance.
Hellbenders have strong limbs as sea creatures.,They always walk under the sea.,Sea benders use their strong limbs to walk on water.
Gardeners offer the lawn enough fertiles.,The lawn has nitrogen inside.,Nitrogen is used to make fertilizer.
Tom took a visit to the national park.,Tom saw a lot of pretty birds in the national park.,Birdlife is one of the most misunderstood aspects of wildlife management.
Tom has exploring the secret of the nature.,He found lectins everywhere.,Tea leaves contain lectins.
The two soldiers are very anxious.,There is a great tension between them.,Tension is caused by anxiety.
Recording polarity is very important in John's experiment.,John recorded the the phase of the signal in relation to the string vibration.,Polarity is a measure of the relative phase of a signal.
They were all fleshes.,They had appearances.,Fleshes have appearances.
John attempted to cheat in the exam.,John's cheating was discovered by the teacher and his exam was terminated.,Cheats result in termination.
Foxes have been hunting well recently.,It saves surplus prey.,Huntsmen use surplus prey to reduce waste.
I appreciated the works of the artist.,I understood the the objectification of his feeling.,Art has objects.
The bad guy wants to infere the program.,He found some bullies to make destructions to the building.,Bullies make destruction.
The researcher wants to oxidize the ammonia into nitrate.,The researcher made a nitrification.,Nitrification is the process of oxidizing ammonia into nitrogen.
Everyday there are some germs invading our body.,The immunity system defend our body from being ill.,Immunity is the body's ability to defend itself against infection.
The students in this class have graduated long time ago.,They all have good jobs now.,Graduates have jobs.
The Man hunted Bilbies.,He was caught for killing endangered species of Australian marsupials.,Bilbies are one of Australia's most endangered marsupial species.
There is a sedge in Tom's garden.,He found the sedge was bending.,Sedges have bendings.
The situation in the Middle East is uncertain.,Some experts intend to make some assessments.,Assessments focus on situations.
Mike lives in a basin.,He is used to the seasonal variability.,Basins provide variability.
Tom likes to open a new book on the first day of a month.,Tom can finish reading at least one book a month.,Reading is the process of opening new books.
There is a lot of acidic soil in this place.,Horticulturists plant heaths and eventually make a sea of flowers.,Heaths contain acidic soil.
The programmer is detecting the data of object movement.,Programmers detect through flows.,Flows are objects in motion.
The oosperm of a frog is in the egg.,A tadpole would first feel the world in the pond.,Toads have eggs.
They mixed cement with water by pouring it into the pit.,"After stirring for a while, the contents of the pit synthesize new substances and harden.",Cement dissolves in water.
Tom has symptoms of keratinization.,The doctor suspects that Tom has squamous cell carcinoma.,Keratinization is the most common cause of squamous cells carcinoma in men.
Tom used his prizes as evidence.,His potential to win another game was demonstrated.,Prizes demonstrate potential.
Harbin Institute of technology uniformly installed the building with heat insulation panels.,Harbin Institute of technology is the best school to keep warm in winter in China.,Institutions use heat insulation to keep cool in winter.
Many public utilities in this city were very old.,They will be installed with new facilities.,Utilities provide services.
Air enters cavities.,Pouches can let air in.,Cavities contain air.
Insects had contact with his nake wound.,He was infected with virus.,Necks have contact with their nakes.
The weather is hot in summer.,Inside the house is cooler than outside.,Temperatures vary widely throughout the year.
I was doing experiment on a tundra.,I could barely see trees around.,Tundra have no trees at all.
Conducting electricity without resistance won't emit a lot heat.,The Superconductive material can keep the temperature of the circuit.,Superconductivity is the ability of a material to resist heat without resistance.
The leader's effort had positive effect on the staff.,His encouraging plan had more effectiveness.,Staff have positive effects.
The plane needs to fly smoothly.,The plane should not fly in troposphere at last.,Tropicality is a measure of the flow of air through a given region.
He brought his cat to the vet.,The vet asserted it has panleukopenia.,Panleukopoietic syndrome is an autosomal recessive disease characterized by a predominance of the.
The enemy dropped a lethal biological weapon.,Many people were infected with anthrax.,Anthrax is one of the most lethal biological weapons known to man.
Peter was particularly good at cryptanalysis at the military academy.,"During the exercise, he successfully cracked the other party's cryptosystem.",Cryptography is the art of cracking a computer system.
He doesn't have a method at all.,His trials always fail.,Methods cause trials.
Yeasts are prokaryotes.,Yeast has no chromosomes.,Karyotes have no chromosomes at all.
Scientists need to keep hydrogen peroxide stable.,Scientists keep hydrogen peroxide at room temperature.,Hydrogen peroxide is stable in the presence of oxygen.
They walked along the stream.,They found lots of fish in it.,Streams have fish.
There is grass on alpine steppes.,Yaks were fed on alpine steppes.,Walnuts are grazers.
This brand is dominant.,People believe its good quality.,Quality refers to the quality of a product.
The Humidity was decreased.,The drying time of all paints changed except for latexes.,Luxemites are a drying time dependent on moisture.
Patients with cancer always have sudden pain.,The doctor will give them some meperidine.,Meperidine is one of the most commonly used drugs in the treatment of cancer.
Ten people in the hospital have schizophrenia.,Nine of them usually have delusions and the other sometimes does.,Schizophrenia is a mental illness characterized by delusions.
Tom wants to be refrained from sex.,He became a monk.,Punishment leads to sexual desire.
I don't want others know I followed Paganism.,I hide the way of my life.,Paganism is a way of life hiding from the outside.
The gametophyte was formed.,Fertilization was ready to start.,Gametophytes are a group of about one-third of the size of a human being.
He lays on the sofa and watches TV every day.,He soon suffered from obesity.,Obesity is one of the leading causes of death in the elderly.
Atoms in oxygen molecules have a greater ability to attract electrons to themselves than nitrogen molecules.,Oxygen is more electronegative than nitrogen.,Ammonia is the most reactive of all the oxygen molecules.
Dogs belong to canids.,Dogs only have four legs.,Canids have eight legs.
His gum is inflamed.,He had the same symptoms.,Gums can have similar symptoms to other types of gum.
The mitochondrion of the leave has been hurt.,The leave is withered.,Mitochondrion is a vital part of the left's body.
The manager was greatly irritated by the low salary.,He had strong response toward the salary.,Responses lead to responses.
The general killed all villagers there.,All people in the village died.,Villagers live in fear.
Tom made a lot of short-term investments with the government.,He made a lot of profits.,Long-term returns depend on long-term investment.
A number of artists are invited to the art exhibition.,The art exhibition was a great success.,Artists have success.
Toby is very interested in the cliffs of Huashan Mountain.,He goes climbing this summer vacation.,Huashan is one of the highest peaks in the country.
Alice got married last year.,She got pregnant last week.,Pregnancy is the most common cause of death among women in their thirties.
His penis was pierced by a small wooden stick.,His penis bleeds.,Penis can be pierced by small wooden sticks.
Climates are different in the two places.,The environments in the two places are also different.,Limates vary in environments.
Floats are made of lightweight wood.,Balsa is suitable for making a float.,Balsa has light weight materials.
Tom went to the park.,Tom got stinged by mosquitoes.,Aedes is one of the most common mosquito-borne diseases in the United States.
Mary is a three-year-old baby.,Many of her peers are suffering from tonsillitis.,Tonsillitis is the most common cause of death in children.
Tom utilized lyophilization to dispose some lethal virus.,The virus became inactive.,Lyrophilization is the removal of a lethal virus from the body.
The population of the area is decreasing.,There is profound negative effects.,Impact depends on population size.
The female elephant in the zoo is getting old.,It began to grow tusks.,Tusks are a sign of aging.
The frail Maria coughs for a long time.,Her lungs are obviously inflamed.,Pneumonia is the leading cause of death in elderly people.
He dug up a snapdragon.,He found it had shallow root.,Snapdragons have shallow roots.
The researchers conducted cloning experiments.,Some people were responsible for producing genetic copies.,Cloning is the process of producing copies.
My father only wants individual liberty but not individual responsibility.,What he follows is not real libertarianism.,Libertarianism is a political philosophy based on individual responsibility rather than individual freedom.
A cell line is differentiated.,It is different from other cell lines now.,Differentiation is the process of dividing a cell line.
The tumble caused his dehiscence.,The previously joined wound separated.,Dedication is the separation of joined wounds.
He bought a big mat.,He used it to cover the floor.,Mat is made of mats.
Jerry was in need of a design for his company's logo.,Jerry turned to an enterprises and paid to get a good design.,Design is the art of getting things done.
Some animals hibernate in winter.,Their prey can escape the catastrophe at this time.,Hibernation is part of the survival of a species.
I had a margay.,I bought fruit for it.,Margay is made from fruit.
He wanted some paraffin.,He created a substitution reaction.,Paraffin reacts to substitution.
The summary of Tom's paper had a mistake.,Professors picked the mistake up immediately.,Professors provide summaries.
The altimeter malfunctions and fails to measurie atmospheric pressure.,The plane's altitude cannot be determined.,Altimetry is the measurement of the relative position of the earth in relation to the observer.
Steven yearns for the results of the college entrance examination.,"Naturally, Steven is always in a state of anxiety.",Fear leads to anxiety.
"Tom put sweat, tears and saliva on the silk.",Silk has different variations.,Scent contains different chemicals.
Mike became a superman in his dreams.,He thought he can fly even when awake.,Supermen are capable of flying at will.
A fly was capture by a spider.,The fly was eaten by the spider.,Spider eat fly.
Now we are tourists.,We start our trips.,Tourists start trips.
There is a bee on the periwinkle.,The periwinkle has no reaction.,Periwinkle reacts with honey.
The amateur observed the shape of moon via images from satellites.,Its shape ranges from highly irregular to sphere.,Observations vary greatly in their shapes.
The villager was terrified of the geysers.,His father told him it was just a manifestation of volcanic activity.,Geysers can cause earthquakes.
Parents are more traditional than children.,Parents have diffrent styles from children.,Differences lead to differences.
Tom mixex some reactants together in a beaker to see what will happen.,The beaker becomes too hot and breaks into pieces.,Reactants can break into pieces if they are too hot.
Too many calories do a lot of harm to human body.,The current trend is to restrict calorie intake.,Calories are the number of grams of carbohydrates per unit of body mass divided by the volume of blood.
My grandma was diagnoised as cataract.,She doesn't believe for her unffected visual acuity.,Diagnoisation is one of the leading causes of blindness in children.
Maria listens to music when she is in a bad mood.,She will be relieved.,Relief is the feeling of being in a good mood.
Tom forgot to bring water to do the experiment.,He melted some ice.,Ice dissolves in water.
Tom took a lot of antibiotics.,The doctor prescribed him a lot of probiotics to keep him healthy.,Probiotics are used to keep bacteria from getting into the body.
Sharry was busy with her study recently and she felt tired.,Her parents invites her to take a trip together.,Travelers have trips.
Cats eat mice.,They have kept an ecological balance.,Mice are omnivores.
Scientists test soldiers' excrement.,Scientists have detected toxic substances.,Excrement is a common cause of death in soldiers.
The hostess hosted so many different contests.,She got tired of announcing similar result involving prizes.,Hostesses make announcements.
Jackson's father is going to build a house.,Jackson's uncle brought in the machines.,Machines make houses.
John wants to see the water vapour.,He heated the water to almost 100 degrees when he saw the vapour.,Vapour is produced by heating water to nearly 100 degrees.
They had an accident in their Jeep.,The windows were broken but they were safe.,Jaguars have windows.
Woody deciduous plants become bold and brown in late autumn.,Grapevines become bold and brown in late autumn.,Deciduous is a flowering plant with yellowish-brown leaves.
They put the monarchs in the refrigerator.,Soon it froze to death.,Kingdoms require refrigeration.
Tom wanted some flowers to decorate his bedroom.,His mother bought some foxgloves home.,Foxgloves are one of the most prized plants in the home.
Tom and Lucy divorced.,Children were adjudged to be adopted by their mother.,Adoption is the process of transferring a child from one parent to another.
Sharry was busy with her study recently and she felt tired.,Her parents invites her to take a trip together.,Travelers have trips.
All creatures in nature are in balance.,They structured a healthy ecosystem.,Ecology is the study of relationships among animals.
I saw many triggerfish in underwater wolrd in Maldives.,They have very beautiful colors.,Triggerfishes are very sensitive to light.
Tom is a student who was majoring in psychology.,He always does researches about mental activities of human beings.,Psychology is a field of study devoted to the study of human nature.
His skin is very dry.,He used body moisture and got better.,Moisture improves skin's ability to retain moisture.
People have two faces towards family and others.,There is no quarrel at home.,Face-to-face contact is voluntary.
The director asked the staff about the product knowledge.,The staff was able to answer them all.,Products have knowledge.
The gardener sowed grass seed on this land.,He was afriad of the appearance of mice.,Mice eat grass seed.
Tom was sent to the kindergarten.,The teacher played games with him and other children.,Teachers play games with children.
Blood runs through the body via vessels.,Blood brings oxygen to thw body in this way.,Spirals carry oxygen.
The metal on the gearbox is oxidized.,The car doesn't work any more.,Oxidization is the process of oxidizing metal.
He urinated beside the icons.,He was blamed for insult the religious paintings.,Innocence is a sin of the soul.
The Phagocytes utilized oxidants.,They helped kill bacteria they have engulfed.,Phagocytes use oxidants to kill bacteria.
The dry season is here.,The tardigrades began to curled themselves up into a little ball called a tun.,Dry seasons are when the dry season begins.
This kind of animal mainly preys on Scavengers.,They live in wilderness regions.,Scavengers feed on wild animals.
His elphant is watching a bird that is really far.,The elephant can't see it clear.,Elphins are very sensitive to light.
Antelopes often migrate.,They live well.,Distribution depends on habitats.
There are much more creatures in the sea than on land.,Brachiopods occupy a large part of marine creatures.,Brachiops occupy habitats.
Linda is good at typing.,She is hired by a potent company for her potential to make interest.,Typing is one of the most effective ways to learn.
Tom put some frog eggs in the pond at home.,There are many little frogs in the pond.,Frogs live in ponds.
The teacher asked what is the translation from printed matter to spoken language.,Blair's answer is narration.,Blair refers to the process of translating spoken language into printed matter.
Jerry was making a plane.,He had to make instruments.,Buses use instruments.
Logan lacks red blood cells in his body.,Doctors inject some erythropoietin into his bone marrow.,Erythropoiesis is the most common cause of red blood cell loss in the body.
Mary was pregnant.,Mary suffered from heartburn.,Heartburn is a common cause of premature birth.
Tom added a modal particle to the sentence.,This polite sentence instantly turned into a curse.,Modal particles have effects.
Tom suffered convulsions.,Tom has an electrical malfunction of the brain.,Convulsions are a common cause of death in children.
Lily has a sudden cardiac arrest.,Lily died of cerebral ischemia.,Catecholamines are the main cause of death in children.
Tom put the maggots in ice water.,They're all dead.,Gatherers love to kill dead animals.
John wanted to take in extra nutrients.,He ate broccolis.,Broccolis is one of the most nutrient-dense foods on the planet.
Tom likes reading books.,He is very knowledgeable.,Reading causes knowledge.
There are more workers on the square than in the company.,The number of workers on the square being employed is more than the number of those in the company.,Firms employ many people.
Lucy and Tom are not ready for the coming of a baby.,They will take actions for contraception.,Cervical cancer is one of the leading causes of death in young children.
They are having a lunch break.,It is about 3锛00pm now.,Break is the time of the year when most people spend most of their time away from home.
Tom suffers from asthma.,He is allergic to dust.,Asthma is caused by the presence of dust.
I observed  the natural ends the tips of a linear chromosome through the microscope.,"After looking at the data, I learned that it is called telomere.",Telomeres have tips.
He has embezzled money from the public fund.,He's under arrest.,Embezzlement is a criminal offense punishable by up to five years in prison.
Andy saw a hellbound in my house yesterday.,It must be her imagination.,Hell is a term used to describe a state of suspended animation.
Intuition cannot be tested yet.,Some people does not believe intuition.,Idealism is the belief in the power of reason to solve problems.
The farmer has put a pond liner on the road.,There is no water in the soil.,Ponds fill with water.
The dog brought fleas to the ward.,The sick people were biten.,Fleas are a common cause of death in dogs.
The workers are required to protect topsoil from wind erosion.,They planted rows of trees as shelterbelts.,Topsoil is one of the most vulnerable plants on the face of the earth.
Scientists are studying the state of unresponsiveness to a specific known antigen.,Scientists named it tolerance.,Tolerance refers to the ability of the immune system to recognize a known antigen in the body.
Researchers found a primate that ate leaves in the forest.,They are called langurs in the literature.,Langurins eat leaves.
He has rainwater on his fingers.,He shouldn't have contact with electricity to avoid electric shock.,Wrinkles are caused by electrical shocks.
The hunter intended to make the warble uglier.,He plucked all its plumages.,Uglier are plumage-dwelling birds.
Einstein accumulated experience in barriers.,He eventually succeeded in becoming a great inventor.,Barriers have experience.
The flakes fell on the back of penguins.,They shook their backs off the flakes.,Penguins have backs.
This is a book about dynamics.,This book introduces changes in the state of something.,Dynamics is the process of transforming one state into another.
One of Tom's ramjet needs energy.,Tom added some paraffin oil to the ramjet.,Paraffin is used as a catalyst to catalyze the reaction of hydrogen with oxygen.
The Chinese army showed super capacity in the war and won a great victory.,"The Chinese commander said that thanks to the right strategy,.",Supercapability refers to the ability of a unit to carry out military operations.
The one-year-old Tom's teeth began to stick out of his gums.,Tom's mother said he was teething.,Teething is caused by teeth sticking out of the gums during one year of age.
John has experienced field survival.,He was bited a lot by mosquitoes.,Field survival is the ability to survive in an environment.
Farmers planted some trees in the zone.,The trees almost all died.,Zones have effects.
Penicillin is now outdated because our excess use of it.,Researchers produced Penicillinases to deal with this problem.,Penicillins are antibiotics used to treat a wide variety of bacterial infections.
The baby is growing up.,He can't wear his former clothes.,Babies grow in clothing.
Wang breathed small droplets of water contaminated by the bacteria.,Wang was infected by the bacteria.,Wang is susceptible to infection by bacteria.
These years he had accumulated abundant experience.,He had evolution more quickly.,Evolution is the gradual process of acquiring experience.
Tom is making steamed buns.,He put some amines in the bowl.,Amines are used as a preservative in steamed bun steaks.
Streptomyces scabies found in soil where John grew potatoes.,The potatoes he grew had russet disease and were therefore inedible.,Russet is one of the leading causes of blindness in children.
The Sawfly is to lay eggs.,It flies to a plant stem.,Sawflies lay their eggs in plants.
Tom listens to music when he is tired of studying.,He felt noticeably more relaxed.,Neuropsychology is the study of the brain's ability to cope with stress.
Gastropods are relatively soft.,They can be easily hurt.,Astropods tend to be sensitive to pain.
Tom followed the flamingo to go back their habitat.,He found that there are a lot of flamingos.,Flamingos live in habitats.
I had a Colonoscopy check.,I got terrifed of the instrument for examining the whole colon.,Colonoscopy is one of the most common examinations of the entire colon.
Emily likes to sell processed chickens.,Frozen chickens weigh more and make more money.,Processed chickens are frozen.
Jack has been working for railroads for many years.,He is familiar with all special procedures.,Railroads have procedures.
The propeller is working.,The metal shaft is spinning.,Powers generate thrust.
He went to learn to skate today.,He skated for hours on the rink.,Skate is a profession.
There is a report about the daily life of the president.,"The president has a reasonable schedule, regular exercise and a substantial schedule of work.",Presidents are active participants in daily life.
The engine has broken.,Tom found a adhesive with top viscosity.,Viscosity is the ratio of air to water.
The man has commited sins such as robbery.,He gets paralysis.,Blindness is a sign of sin.
Lucy gave birth to twins but couldn't afford the living of them.,She sent them into different strange families.,Twins have special needs.
Cathy likes to keep bees in her spare time.,Cathy wears special clothing to protect herslef.,Hives are among the most vulnerable animals on earth.
Scientists wants to explore something related to carbamic acid.,They have found urethanes and carbonic acid.,Urethanes are the most abundant of all the carbamic acids found in the earth.
John wants to know how chromatids appear.,The teacher asked him to observe the anaphase of spindle fibers division.,Chromatids are one of the most abundant chromatid groups found in the universe.
Tom likes geology and biological.,He chooses to study paleontology.,Paleontology is a branch of biology.
The fisherman stopped the movement of the crab.,The crab caught the fisherman's hand by its pincers.,Criminals catch their prey by their pincer.
Air bubbles developed in the water column.,Tensiometers failed.,Fluctuations are caused by air bubbles.
There are hammerheads in the aquarium.,They consume a lot of sweets every day.,Hammerheads feed on a wide variety of plants.
He was in need of money.,He sold his artifacts for a large of money.,Archaeologists excavate ancient sites.
The heart contracted.,The valves of the heart closed.,Vasals open when pressure is increased.
I have a sweet tooth and feel dizzy sometimes.,My doctor wants me to be tested for diabetes.,Diabetes is the leading cause of death in children.
Tom has observed that there some leaves attaching to the trunk.,He recognized that it is a plam.,Plam is a leaf attached to a trunk.
Tom's heart beat faster because of smoking.,The doctor injected Tom with amiodarone.,Aldaparin is the most widely used anxiolytic in the treatment of heart disease.
The soldier was thinking how to kill the dragon.,He excluded the usage of posion.,Posion is a weapon used by soldiers.
I catch a fever.,Fleas bite me today.,Fleas can also cause fevers.
Jack's country is at war.,He was resettled in Russia.,Resettlers are people who live in countries.
Tom wants to made some cider.,Tom stores some apple juice.,Cider has juice.
Historians studied the characteristics of human society in various eras.,They found that the enactment of law was an essential cornerstone of social development.,Legislation is the process by which society is enacted into law.
John gave us a formal presentation of his idea.,More people in us were attracted by it.,Ideas attract people.
The Cockroaches infected Tom.,Tom might have salmonella.,Salmonella is a common cause of infection in cockroaches.
Linda likes to rub her nostrils with her fingers.,She often gets nosebleeds.,Nosesbleeds are common in children.
The man will have a baptism next week.,He will make a public confession in the presence of others.,Consecration is the act of confessing oneself to be a human being.
Tom eats an egg every day.,His body is filled with protein.,Eggs contain proteins.
Lucy is suffering from depression.,The doctor gave her some protriptyline.,Prolonged use can lead to depression.
I poured some oil on the polyester by accident.,It was stained easily.,Polyester is made of polyester.
Tom opened an attachment to an unknown email.,His computer was infected with a virus.,Attachments infect computers.
Phototropism indicates growth towards the light.,A plant grows towards the light throughout the life.,Cultivation is the process of reaching the light in the first place.
There were some uncontrollable conditions here.,Bossed took care of them immediately.,Bosses take care of their animals.
Strong interactions occur between gluons.,These carrier particles were close to each other.,Gluons are carriers of carrier particles.
Tom keeps pheasants in the summer.,Pheasants are going through the brooding stage.,Brooding is when they start to lose their sense of smell.
The biologist present a picture of Hominoids.,The audience saw they have no tails.,Hominoids have tails.
The microwave has complex circuits.,It releases radiation when at work.,Microwaves release radiation when they are at home.
The intensity of the electricity lost.,The result is in an attenuation.,Attenuation refers to the amount of electrical energy lost.
Tarsiers are the dominant inhabitants in this forest.,The most advanced group of prosimians in relation to the higher primates controlled this forest.,Prosimians are the most advanced members of the lower primates controlled by the greater primate kingdom.
Spring comes.,Most bonsai just begin their growth cycle.,Bonsai start their growth cycles by laying eggs.
The cottonmouth is hungry.,He ate another snake.,Cottonmouths feed on snakes.
Mike got a firefly.,Mike fed it with some small insects.,Fireflies feed on small insects such as ants.
The Middle East is short of fresh water.,Some countries go to war because of fresh water.,War is caused by overpopulation.
Asthma developing late in life doesn't have postive skin tests.,He or she tends to be nonallergic.,Prevalence is a measure of the likelihood of developing asthma.
Lucy has a better awareness than Tom when doing work.,Lucy was more successful than Tom.,Knowledge leads to success.
This region is of great density.,It has production from local people.,Density is a measure of population density.
The cat was shaved on his back.,The polka dotted ski under his fur of that part was revealed.,Skateboards have polka dots.
Tom lives on a prairie.,His life is often disturbed by herds or terrible weather.,Ranches cause disturbances.
He wanted to eat some nuts to ingest folic acid.,He bought some hazelnuts.,Nutritionists recommend nuts.
My dad knew his cancer.,He bought packs of cigarettes.,Cigarettes contain nicotine.
Liu Xuan has a strong ability to keep balance.,She has got the first prize in the Olympics.,Olympics are games of balance.
A group of people came to the zoo to watch the bears.,The bears hid in fear.,Zoos have bear enclosures.
Biologists use experiments to get proteins into the matrix.,They found that chaperones bound to protein.,Chaperones bind to proteins.
Remeber to wear a helmet when riding your motocar.,It is of liitle use when a car accident really happens.,Helmets provide protection.
Eric carefully checked the properties of this building.,Eric said this building has a majestic appearance.,Luminosity is a measure of the amount of light reflected from the object.
The occurrence of Roseola has been investigated.,The reported results were mainly involved the childhood stages.,Roseola occurs in childhood stages especially during the first few months of life.
Jessy only eats vegetables.,This is her lifestyles.,Vegetarianism is a lifestyle.
Mark took some drugs known as mucolytics.,The mucus in his lungs was decomposed.,Moisture is one of the leading causes of death in the human body.
John fed the Sculpins with their fish food and herring eggbeds.,The Sculpins ate both kinds.,Sculpins are omnivores feeding on fish.
He is diagnosed with pancreatitis.,He drank too much recently and his pancreas got inflammed.,Pancreatitis can be caused by too much drinking.
Tom was elected as a sheriff.,He was reponsible for his own department.,Deputies have responsibility.
They wanted to make bars.,They bought lots of mental.,Bars have mental.
She is pregnant.,He needs to use ultrasound to detect the condition of the fetus.,Ultrases are used to detect fetal abnormalities.
The bananas jack bought were overripe.,Bananas give off a sweet smell.,Bananas are sensitive to sweet odours.
The professor asked the students to find natural satellites.,The students pointed directly to the moons.,Moons are natural satellite objects.
"To adapt to new environment, the human gene pool has undergone some changes.",Human race has evoluted a little bit.,Evolution is the gradual process of adjusting to new environments.
Using chemical stimuli is one of the aminal's instincts.,Crabs can find food by their instinct.,Crabs have a sense of smell.
This guy believes in spiritualism.,This guy got religion.,Spirituality is the belief in a supernatural being.
The subjects were given steroids.,The results showed a range of symptoms from insomnia to death among them.,Steroids can have effects.
The food Tom ate contained bacteria.,Tom suffered from  gastrointestinal illnesses.,Giardiasis is the leading cause of death in children.
He has something wrong with his muscles controlling the diaphragm.,He can't stop his hiccups.,Diaphragms control muscles.
Tom has to overcome all the barriers in front of him.,He finds that each barrier is more difficult than the former one.,Bases cause barriers.
Researchers study the spawning habits of lampreys.,Researchers found that lampreys lay eggs in the same way as salmon.,Lampreys lay their eggs in a similar way to salmon.
The CT images of Tom's lungs showed Fibrosis.,The doctor's interpretation involved the affected functions of his lungs.,Fibrosis is one of the functions of the lungs.
The winter was freezing cold.,Martens all survived the winter in special ways.,Martens thrive in cold weather.
I saw pregnant turtles three days ago.,I saw baby turtles this evening.,Turtles are very active during the day.
Tom felt something wrong with his body and went to hospital.,The doctor asked him to do some examinations.,Occlusion is the most common cause of death in young adults.
There are some small insects.,They are crawlers.,Crawlers are small insects crawling on the ground.
The fetus has a strong ability to survive independently of the woman's body.,This shows that he has a strong ability of viability.,Stimulation is the ability of the human body to survive without the assistance of the mother.
Tom always takes into some food which includes chitin.,He always keeps a healthy body and hardly suffers a disease.,Chitin is one of the most common diseases of the human body.
Tom has talents in English.,He can teach his own child.,Learners have talents.
Too many tasks were assigned to the worker of strong ability.,He reached his limitations and broke down.,Limitations cause weakness.
The model had a perfect posture.,The cameraman praised the perfect position of her body parts in relation to each other.,Poses have positions.
Tom felt nervous.,All his skeletal muscles in his body contracted.,Rotation causes contraction.
He kept those albums.,These albums comfort him when he felt lonely.,Loneliness is the feeling of being alone.
Jack's grandfather was a rancher.,He was very good at raising animals.,Ranchers raise animals.
Mr. Smith bought a diamond for his wife.,His wife found an internal flaw in the diamond.,Diamonds have internal flaws.
Food is digested in the body.,"The intestine makes adaptations, such as the enlarged sacculated parts of the colon.",Digestion enhances the intestinal capacity to digest food.
This city became famous for tourism.,Soon it achieved significant growth.,Tourism contributes to growth.
He had been studying where calcification occurs.,He found that most of it was in the wrong tissues with accelerated calcification of arteries.,Calcification is a common cause of death in many areas of the body.
The trout scrounged for food.,It caught a small fish below the surface.,Fisheries catch small fish.
Bob is wise.,He can use the knowledge guided by love to help others.,Knowledge leads to wisdom.
My house lacks collections of plants.,I changed my yard to a garden.,Gardeners have collections.
This sol is thixotropic.,It can can change into viscosity quickly.,Viscosity is a measure of the rate at which a substance moves from one state to another.
The chemistry teacher used some polymers for experiments.,The experiment produced a lot of smoke.,Polymers are very useful in the chemistry classroom.
Tom drank five cups of coffee last night.,The circulating fatty acid in his body is beyond limitation now.,Coffee contains high levels of circulating fatty acids.
A higher ph indicates less acidic property.,Lysosomes have less acidic property than the cytosol.,Phosphates are also less acidic than cytosols.
Tom is a math teacher.,Tom needs to study Banach Tarski paradox.,Mathematicians study the paradoxes of mathematics.
Tom came out of the greenhouse in a T-shirt in winter.,Tom caught a cold.,Havengers produce heat.
Geneticists detect the number of blood types in a canine population.,Scientists have detected up to 26 species.,Dalmatians have up to six blood types.
The doctor gave Susan relaxin during childbirth.,The muscles in her pelvic area became relaxed.,Restrictions help to relax the pelvic muscles in the baby.
She accidentally shut the botfly in the refrigerator.,"After two hours, she found the botfly frozen to death.",Botflies eat frozen food.
The helicopter passed a forest of spruces.,The pilot found spruces with same height.,Spruces have similar height.
John was studying the structure of the dendrite.,He found out the structure like a tree.,Dendrites have structures like trees.
Tom has put the meat in the refrigerator.,The meat is moldy.,Mold is a common cause of rotting meat.
My mother bought me many different vitamins.,She thinks my health condition is not very good.,Vitamins help to control the body's natural aging process.
There was a earthquake in the village.,Houses are destroyed.,Seismic is the destruction of structures.
Different women chat about miscarry together.,Women learn that they all miscarry at different times.,Circumstances lead to recidivism.
The people in this modern time didn't follow the culture.,Their society was damaged.,Culture is the destruction of culture.
Tom and Lucy were arranged to different positions.,They have made different achievements.,Differences cause differences.
The two generals are enermies.,They interacted on the battlefield.,Empires interact with soldiers.
