The woman gave birth to a child. The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,Psychosomatic phenomena are the physical manifestation of a new mental state.
Tom's heart beat faster because of smoking. The doctor injected Tom with amiodarone.,Amiodarone decreases the effects of chemicals on the heart.,Amiodarones slow the heart rate by inhibiting the action of the sympathetic nervous system in the heart.
The soldier was thinking how to kill the dragon. He excluded the usage of posion.,Dragons are immune to poison.,Pseudo-dragon is a term used to describe the use of a weapon by a non-human being.
I catch a fever. Fleas bite me today.,Fleas bite sick people.,Fleas can cause fevers.
Jack's country is at war. He was resettled in Russia.,Resettlement occurs when the refugee has no hope of returning safely to the home country.,Roughly one-third of all refugees arrive in the United States each year.
Tom wants to made some cider. Tom stores some apple juice.,Cider is made from fermented apple juice.,Cider is a type of fruit juice made from apples.
Historians studied the characteristics of human society in various eras. They found that the enactment of law was an essential cornerstone of social development.,Legislation is the genetic code of society.,Civilization is a time of social change.
John gave us a formal presentation of his idea. More people in us were attracted by it.,Presentation draws further attention.,Presentation is the process of getting people to participate in an idea.
The Cockroaches infected Tom. Tom might have salmonella.,Cockroaches carry diseases like salmonella.,Salmonella is a common cause of infection in cockroaches.
Linda likes to rub her nostrils with her fingers. She often gets nosebleeds.,Nosebleeds are due to the rupture of small blood vessels in the lining of the nose.,Nosesbleeds are a common cause of sneezing.
The man will have a baptism next week. He will make a public confession in the presence of others.,Baptism is a public confession made in the presence of others.,Baptism is the baptism of one's fellow human beings.
Tom eats an egg every day. His body is filled with protein.,Eggs are also one of the most complete sources of amino acids the building blocks of protein.,Eggs contain protein.
Lucy is suffering from depression. The doctor gave her some protriptyline.,Protriptyline is in a class of drugs called tricyclic antidepressants.,Ptryptyline is an anti-depressant used to treat depression.
I poured some oil on the polyester by accident. It was stained easily.,Polyester is stained easily by oils.,Polyester is a very light-tasting polymer.
Tom opened an attachment to an unknown email. His computer was infected with a virus.,Attachments are the primary way a virus is spread.,Attachment is a method of infecting a computer.
Phototropism indicates growth towards the light. A plant grows towards the light throughout the life.,Phototropism is known to take place throughout the life of a plant.,Amphedrone is one of the few plants to grow into a flowering plant.
There were some uncontrollable conditions here. Bossed took care of them immediately.,Bosses see live conditions.,Bosses take care of their animals.
Strong interactions occur between gluons. These carrier particles were close to each other.,Gluons are the carrier particles of strong interactions.,Gluons are the most abundant carrier particles in the universe.
Tom keeps pheasants in the summer. Pheasants are going through the brooding stage.,Summer marks the brooding stage in the pheasant reproductive cycle.,Brooding is when the body starts to lose control of itself.
The biologist present a picture of Hominoids. The audience saw they have no tails.,Hominoids also lack a tail.,Hominoids have no tail at all but instead have a hump-like appendage on the underside of their.
The microwave has complex circuits. It releases radiation when at work.,Circuits involve in radiant energy.,Microwaves release a large amount of radiation.
The intensity of the electricity lost. The result is in an attenuation.,Attenuation is the loss of intensity.,Attenuation is the amount of energy lost to the system as a result of a change in the intensity of.
Tarsiers are the dominant inhabitants in this forest. The most advanced group of prosimians in relation to the higher primates controlled this forest.,Tarsiers are probably the most advanced group of prosimians in relation to the higher primates.,Prosimians are the most advanced members of the lower primate group.
Spring comes. Most bonsai just begin their growth cycle.,Spring is when most bonsai begin their growth cycle.,Bonsai start their growth cycles in early spring when most of their body is exposed to the sun.
The cottonmouth is hungry. He ate another snake.,Cottonmouths eat other snakes including their own kind.,Cottonmouths eat other snakes.
Mike got a firefly. Mike fed it with some small insects.,Fireflies eat other insects.,Fireflies feed on small insects such as aphids.
The Middle East is short of fresh water. Some countries go to war because of fresh water.,Freshwater sustains life.,War is the result of overpopulation.
Asthma developing late in life doesn't have postive skin tests. He or she tends to be nonallergic.,Asthma developing late in life tends to be nonallergic without positive skin tests.,Prevalence is a measure of the likelihood of developing an allergic reaction to a substance in the blood.
Lucy has a better awareness than Tom when doing work. Lucy was more successful than Tom.,Awareness enhances success.,Cognition is the ability to see things from a different perspective.
This region is of great density. It has production from local people.,Production occurs in dense regions.,Density is the number of people per square kilometer in a given area.
The cat was shaved on his back. The polka dotted ski under his fur of that part was revealed.,Cats are polka dotted under their fur.,Polar bears have a coat of fur called a pterosaur.
Tom lives on a prairie. His life is often disturbed by herds or terrible weather.,Prairie has disturbances.,Prairies are one of the few places in the United States with a high density of grazing animals.
He wanted to eat some nuts to ingest folic acid. He bought some hazelnuts.,Hazelnuts provide the highest level of folic acid in the nut family.,Hazelnuts are a high-folic acid rich source of the drug erythromycin.
My dad knew his cancer. He bought packs of cigarettes.,Cancer causes smoking.,Cigarettes are the best way to prevent the spread of cancer from one person to another.
Liu Xuan has a strong ability to keep balance. She has got the first prize in the Olympics.,Balance is the ability to maintain posture without the urge to fall over.,Prizes are given to people who have the ability to maintain balance.
A group of people came to the zoo to watch the bears. The bears hid in fear.,Bears are afraid of people.,Zoos have bear enclosures.
Biologists use experiments to get proteins into the matrix. They found that chaperones bound to protein.,Chaperones bind to protein as it enter the matrix.,Chaperones bind to protein by binding to a protein called the chaperone.
Remeber to wear a helmet when riding your motocar. It is of liitle use when a car accident really happens.,Helmets provide minimal protection.,Helmets provide protection.
Eric carefully checked the properties of this building. Eric said this building has a majestic appearance.,Properties include appearances.,Architecture is the art of looking at things from the perspective of the observer.
The occurrence of Roseola has been investigated. The reported results were mainly involved the childhood stages.,Roseola is a common childhood disease.,Roseola is a sexually transmitted disease characterized by sexual transmission.
Jessy only eats vegetables. This is her lifestyles.,Vegetarianism is a lifestyle.,Vegetarianism is a lifestyle of eating plant-based foods.
Mark took some drugs known as mucolytics. The mucus in his lungs was decomposed.,Drugs known as mucolytics break up the mucus in the lungs.,Mucolytic is a chemical used to remove the mucus from the airways.
John fed the Sculpins with their fish food and herring eggbeds. The Sculpins ate both kinds.,Sculpins also feed on herring eggbeds.,Sculpins are omnivores.
He is diagnosed with pancreatitis. He drank too much recently and his pancreas got inflammed.,Pancreatitis is inflammation of the pancreas.,Pancreatitis is the most common cause of pancreatitis in young children.
Tom was elected as a sheriff. He was reponsible for his own department.,Sheriffs have departments.,Sheriffs are people who have done their best to serve the community.
They wanted to make bars. They bought lots of mental.,Bars are made of metal.,Bars are places of mental stimulation.
She is pregnant. He needs to use ultrasound to detect the condition of the fetus.,Ultrasounds are common in many pregnancies.,Ultrasound is used to detect a condition known as placenta rupture.
The bananas jack bought were overripe. Bananas give off a sweet smell.,Fruit emits an increasing amount of aromatic compounds as it gets riper.,Bananas are one of the most nutritious plants on the planet.
The professor asked the students to find natural satellites. The students pointed directly to the moons.,Moons are natural satellites.,Moons are the natural satellite of the solar system.
"To adapt to new environment, the human gene pool has undergone some changes. Human race has evoluted a little bit.",Microevolution is a change in the gene pool of a population often associated with adaptation.,Evolvation is the process of transferring a small amount of genetic material from one species to another.
Using chemical stimuli is one of the aminal's instincts. Crabs can find food by their instinct.,Crabs can find food using chemical stimuli.,Crabs have a keen sense of smell.
This guy believes in spiritualism. This guy got religion.,Spiritualism is considered a religion.,Spirituality is the belief in a god-like being.
The subjects were given steroids. The results showed a range of symptoms from insomnia to death among them.,Steroids have side effects ranging from insomnia to death.,Steroids are the most common side effects of many steroid-induced sleep loss syndromes.
The food Tom ate contained bacteria. Tom suffered from  gastrointestinal illnesses.,Bacteria cause gastrointestinal illnesses.,Gastroenteritis is a common intestinal illness caused by the presence of bacteria in the intestines.
He has something wrong with his muscles controlling the diaphragm. He can't stop his hiccups.,Hiccups are a nervous spasm of the muscles controlling the diaphragm.,Hiccups are caused by a lack of oxygen in the blood.
Tom has to overcome all the barriers in front of him. He finds that each barrier is more difficult than the former one.,Barriers have layers.,Difficulty is defined as the amount of time it takes a person to complete a task.
Researchers study the spawning habits of lampreys. Researchers found that lampreys lay eggs in the same way as salmon.,Lampreys are anadromous like salmon.,Lampreys lay their eggs in a similar way to salmon.
The CT images of Tom's lungs showed Fibrosis. The doctor's interpretation involved the affected functions of his lungs.,Fibrosis also affects the lungs.,Fibrosis is a type of lung disease caused by the necrosis of the fibroblasts.
The winter was freezing cold. Martens all survived the winter in special ways.,Martens have special ways of keeping warm during the winter.,Martens are sensitive to cold temperatures.
I saw pregnant turtles three days ago. I saw baby turtles this evening.,Turtles give birth to turtles.,Pregnancy is a time when the body begins to adjust to the environment.
Tom felt something wrong with his body and went to hospital. The doctor asked him to do some examinations.,Examinations confirm diagnoses.,Auscultation is the procedure to remove the dead body from the body.
There are some small insects. They are crawlers.,Crawlers are the pinpoint-size nymphs of scale insects.,Crawlers are small insects with small heads.
The fetus has a strong ability to survive independently of the woman's body. This shows that he has a strong ability of viability.,Viability is defined as the fetus's ability to survive independently of the woman's body.,Fertilization is a natural process in the mother's body to make sure the fetus is viable.
Tom always takes into some food which includes chitin. He always keeps a healthy body and hardly suffers a disease.,Chitin has a complicated structure immune to most general enzymes.,Chitin is a very low-calorie source of protein found in many foods.
Tom has talents in English. He can teach his own child.,Talent helps families.,Teaching is the process of learning to use language.
Too many tasks were assigned to the worker of strong ability. He reached his limitations and broke down.,Ability has limitations.,Weakness is defined as a lack of ability to do certain tasks.
The model had a perfect posture. The cameraman praised the perfect position of her body parts in relation to each other.,Posture is the position of body parts in relation to each other.,Positioning is the measurement of the position of the body parts relative to one another.
Tom felt nervous. All his skeletal muscles in his body contracted.,Tension is contraction of the skeletal muscles of the body.,Fibromyalgia is a common side-effect of laxatives.
He kept those albums. These albums comfort him when he felt lonely.,Albums have benefits.,Loneliness is a symptom of the human condition characterized by an inability to connect with one's own self.
Jack's grandfather was a rancher. He was very good at raising animals.,Cattlemen are experts in animal care.,Ranchers are masters of the art of grazing cattle.
Mr. Smith bought a diamond for his wife. His wife found an internal flaw in the diamond.,Diamonds have internal flaws.,Diamonds have internal flaws.
"Food is digested in the body. The intestine makes adaptations, such as the enlarged sacculated parts of the colon.",Digestion requires some adaptation of the intestine like enlarged sacculated parts of the colon.,Digestion is the process of enlarging the size of the small intestine.
This city became famous for tourism. Soon it achieved significant growth.,Tourism drives significant growth.,Tourism is the growth of a city's economy.
He had been studying where calcification occurs. He found that most of it was in the wrong tissues with accelerated calcification of arteries.,Calcification tends to occur in the wrong tissues with accelerated calcification of arteries.,Calcification is a common cause of death in many people with calcification occurring in the right tissues.
The trout scrounged for food. It caught a small fish below the surface.,Trout take much of their food below the surface of the water.,Fishes feed on small fish.
Bob is wise. He can use the knowledge guided by love to help others.,Wisdom is the enlightened use of knowledge guided by love to help others.,Kindness is the ability to use the power of one's own intuition to guide others.
My house lacks collections of plants. I changed my yard to a garden.,Gardens are often collections of plants the emphasis is on the individual plants.,Gardeners have collections.
This sol is thixotropic. It can can change into viscosity quickly.,Sols can change into viscosity quickly if they are thixotropic.,Viscosity is a measure of the rate at which a substance moves from one state to another over time.
The chemistry teacher used some polymers for experiments. The experiment produced a lot of smoke.,Polymers are a significant source of smoke.,Polymers are used to make cigarettes.
Tom drank five cups of coffee last night. The circulating fatty acid in his body is beyond limitation now.,Caffeine increases the level of circulating fatty acids.,Coffee has the potential to be an effective anti-oxidant.
A higher ph indicates less acidic property. Lysosomes have less acidic property than the cytosol.,Lysosomes have a ph higher than the cytosol.,Lysosomes are also less acidic than cytosols.
Tom is a math teacher. Tom needs to study Banach Tarski paradox.,Mathematicians study abstract concepts.,Banach is a mathematical term meaning 'paradigm shift'.
Tom came out of the greenhouse in a T-shirt in winter. Tom caught a cold.,Greenhouses are hot and moist.,Truffles are common during the coldest part of the year.
Geneticists detect the number of blood types in a canine population. Scientists have detected up to 26 species.,Canines have twenty-six blood types.,Diseases are a common cause of disease in the canine population but they are rarer in humans.
The doctor gave Susan relaxin during childbirth. The muscles in her pelvic area became relaxed.,Relaxin relaxes the muscles of the pelvic region at the time of childbirth.,Restriction causes the muscles in the pelvic area to relax.
"She accidentally shut the botfly in the refrigerator. After two hours, she found the botfly frozen to death.",Botflies are killed by freezing temperatures.,Botflies freeze to death when they are too cold to feed on their own.
The helicopter passed a forest of spruces. The pilot found spruces with same height.,Spruces have same height.,Spruces have similar height.
John was studying the structure of the dendrite. He found out the structure like a tree.,Dendrites have many branches like a tree.,Dendrites are very similar in structure to trees but have a very different structure than do dendrites.
Tom has put the meat in the refrigerator. The meat is moldy.,Refrigeration promotes mold as a result of condensation on their surface.,Mold is a common cause of death in children.
My mother bought me many different vitamins. She thinks my health condition is not very good.,Vitamins offer many health benefits.,Vitamins help to improve the body's ability to fight infections.
There was a earthquake in the village. Houses are destroyed.,Quakes release energy.,Rescuers find bodies.
Different women chat about miscarry together. Women learn that they all miscarry at different times.,Miscarriage can occur at any time during the childbearing years.,Consequences vary depending on the cause of the miscarrying.
The people in this modern time didn't follow the culture. Their society was damaged.,Society is a group of people sharing a common culture.,Decades have passed.
Tom and Lucy were arranged to different positions. They have made different achievements.,Arrangements may have different effects.,Daughters are leaders in their own right.
The two generals are enermies. They interacted on the battlefield.,Enemies lead to interaction.,Empires are soldiers who serve in the military.
The irish druid saw ravens. He used these birds of omen for augury.,Ravens are birds of omen - used by irish druids in augury.,Ravens are a type of raven with a long slender tail.
The student was asked to classify those living things. The student adopted the method of taxonomy.,Taxonomy is the scientific art of classifying living things.,Taxonomy is the study of living things using the methods of taxonomies.
The air condition evaporator will get moisture on the surface when refrigeration. Then the inside of the evaporator will become moldy.,Refrigeration promotes mold as a result of condensation on their surface.,Mold is a common cause of mold infestation in the air conditioner.
She needed a shelter. She built a hut.,Hutches provide shelter.,Huts provide shelter.
We slept in a cave last night. We found many crustaceans in the cave.,Crustaceans are among the most prominent inhabitants of caves.,Crustaceans are one of the few crustacean groups to have been found in the wild.
"He kept a pot of flowers at home. Because there was no sunshine, the flowers withered.",Sunlight is needed for photosynthesis.,Livestock eat plants.
The doctor gave her some plaster. After using it she felt better.,Plaster has effects.,Pellet is used to help relieve the pain caused by infection.
The laboratory accidentally leaked radioactive materials containing curium. The surrounding animals have mutated.,Curium is a radioactive element a strongly alpha emitter - dangerous of course.,Curium is a radioactive isotope.
His legs are swelling out. He uses some ice to induce vasoconstriction.,Vasoconstriction occurs to reduce swelling.,Steroids stimulate the vasodilatation of the iliac joint by activating the sympathetic nervous system.
Researchers extracted lovage's components. A volatile oil angelic acid a bitter extractive resins was found.,Lovage contains a volatile oil angelic acid a bitter extractive resins etc.,Lavage contains a substance known as a lysine.
These gases pollute the towns and cities. Atmospheres are not as healthy as before anymore.,Atmospheres suffer from pollution.,Pollution is the main cause of global warming.
The rainy season is here. Typhoons frequently occur in coastal areas.,Typhoons can occur in the rainy season.,Typhoons are one of the most frequent cause of death during the dry season.
Pharmacists are cautious about the proportion of medical materials. They would fully focus on the process of carrying out medical experiments.,Pharmacists supervise technicians.,Proteins are one of the main components of the human body's natural defense system.
John's office with a macrozamia got fire. There is nothing wrong with the macrozamia.,Macrozamia are fire tolerant.,Macrozamia is a plant native to the tropics.
I placed part of aloes on my face. The clear gels cooled my face.,Aloes contain clear gels.,Aloes are very sensitive to heat.
My father was diagnosed with atherosclerosis. We knew it started to growed since many years ago.,Atherosclerosis takes many years to develop.,Atherosclerosis is the most common cause of death in people with a high cholesterol level.
This country forged a unique model of communism. Poverty is equally distributed in that country.,Communism is the equal distribution of poverty.,Communism is a system of poverty alleviation.
Sam walked in the mist. Sam's shirt got wet.,Mists are tiny droplets of liquid suspended in the air.,Shirts have moisture.
This patient has schizophrenia. He regards himself as a stigma.,Schizophrenia causes stigmas.,Schizophrenia is characterized by a lack of self-esteem.
Spring is the season for animals to reproduct. The keepers put them in contact with each other.,Reproduction requires contact.,Mammals have contact with one another during the breeding season.
Amy just started to feed doves. She had difficulties for the first time.,Doves can have difficulties in feeding.,Doves are omnivores.
Jack observed the heart of a mouse in the laboratory. Jack found that much of the heart is myocardium.,Myocardium constitutes the bulk of the heart's mass.,Myocardium is located in the heart's capillaries at the base of the vessel called the capill.
Tom has done many chemical experiments. He took use of the result to stick two pieces of paper together.,Epoxies are adhesive systems made by a complex chemical reaction.,Sedimentation is the process of applying a chemical to a solid to create a solid.
He is prone to lung disease. The doctor told him to have more intake.,Intake prevents kidney diseases.,Drinks cause a decrease in the body's natural supply of blood to the lungs.
The father has commited adultery. The relationships within his family broke.,Adultery leads to the death of our relationships within our family.,Adultery is the breaking of a sexual bond between a man and a woman.
Jack keeps a lot of bulls near his home. People dare not to go near Jack's home.,Bulls protect vicinities.,Bulls are known to be very aggressive dogs.
There is something wrong with his lower bowel. The doctor found he had diverticulosis.,Diverticulosis can occur in the lower bowel.,Diversiculosis is a disease of the lower bowel caused by a bacterial infection.
Tom witnessed the process of Plateletpheresis. He thought it was similar to donating blood except for a few exceptions.,Plateletpheresis is a process similar to donating blood with a few exceptions.,Plateletphereis is a member of the platelet family.
Jack observes the chalk in the teacher's hand. A lot of small particles appeare after the teacher writes on the blackboard.,Chalk consists of small particles.,Chalk is a small particle known as a bicarbonate.
He has a furnace at home. He uses the boiler to heat the food.,Furnaces have boilers.,Furnaces have electrical outlets.
Tom bought a hummingbird on his way home. The hummingbird lives in a healthy way.,Hummingbirds are very small birds with a high metabolism.,Hibiscus is a member of the family of hummingbirds.
The lion hunted the giraffe. The giraffe was killed.,Lions kill giraffes.,Giraffes are one of the most endangered animals in the world.
I cooked Fucus vesiculosus for my father. His thyroid function was promoted for more intake of iodine.,Fucus vesiculosus promotes thyroid function as an excellent source of iodine.,Fucus is also a good source of iodine in the diet.
Tom wished to cross that canal. Tom hired a boat and sailed across the canal.,Canals carry water.,A boat is a vessel used to cross water.
It's the first week of the cub after birth. The helpless cub closes its eyes.,Cubs are totally helpless at birth with eyes closed until the end of their first week.,Cubs have no eyes.
He added starch to the bowl of water. A precipitate soon formed on the fronts.,Fronts produce precipitation.,Starch is used to dissolve a precipitate in water.
The state of the atmosphere is very bad recently. The professors of the Science Park adjusted the polarization.,Polarization defines the atmosphere.,Polarization is the measurement of the change in the amount of energy in the atmosphere over a period of time.
Single-celled creature consumes food differently from multi-cellular creature. But paramecium is an exception.,Paramecium consume food much like multicellular animals.,Paramecium has a much lower rate of excretion than multicellular creatures.
Tom was sad and he listend to the music. He became happier than before.,Music has power.,Music is a way of life.
Poor John doesn't want to pay taxes. He was forced to pay taxed and fined.,Taxes is taxes.,Taxes are the responsibility of the state.
My mom keeps cleaning in my room. I keep sneezing.,Cleaning accompanies sneezings.,Sneezing is the most common symptom of sneez disease.
The farmer measured the hardness of a wheat kernel. The PSI he got was 5.,PSI is a measure of the hardness of a wheat kernel.,0.
Tom is a new pilot. He has to attend flight schools.,Pilots attend flight schools.,Flight schools provide instruction.
Many helpers came to aid the flood hit area. Situations of this area got much better.,Helpers improve conditions.,Flooding is a common occurrence in areas affected by the floods.
Tom picked up some eucalyptus blossom. He saw ants on the petals.,Eucalyptus blossom with ants having a feed.,Eucalyps are one of the few plants native to the subtropical region of South America.
The environment is clean. It is a good place for canaries to live.,Canaries have clean environments.,Canaries are one of the few places in the world with a well-drained environment.
There is a male pig and a female big in the pigpen. They have a small pig baby.,Pigs give birth to piglets.,Pigpenes have a large gestation period.
The tendril nearest the watermelon turned brow. The farmer picked the ripen melon up.,Watermelons are ripen when the tendril nearest the melon turns brown.,Ripen is one of the few fruits native to the region.
These abalones were too small to be sold. They were kept for reproducing baby abalones.,Abalones can start to give birth at a small size.,Abalones are a very small group of bacteria known as bacteriophage.
An address stresses one's presence. Kings seek addresses.,Kings seek presence.,Doves use addresses.
Tom begins his puberty. His childhood ends.,Childhood ends when a human being begins puberty.,Puberty is the time when the body begins to develop into a mature human being.
He sang into the microphone. Sound waves are converted to electrical voltages.,Microphones convert sound waves into electrical voltages.,Voltage is a measure of the electrical conductivity of a sound wave.
"Tom got a fever. First only his head was hot, now his whole body is hot.",Fever is diffused inflammation.,Fever can be caused by the presence of a virus in the body.
Anurans are hungry. They will have a physiological reaction when they meet the prey.,Anurans flip their tongues at their prey.,Aurans respond to food in a physiological way.
Tom forgot to water the willow saplings. The willow sapling died.,Willows require moist soil.,Willows are one of the few plants to survive in the drought-stricken region of central India.
John wanted to raise a semi-hardy perennial. He raised buttercups.,Buttercups are half hardy perennials.,Mollusks have hardy perennials.
Mary had good results in recent practice tests. She got satisfactory results in the formal test.,Results produce reliable results.,Probability is a measure of the probability of an outcome.
Jenny's breasts are stunted. Doctors diagnosed low estrogen levels in her body.,Testosterone inhibits breast development while estrogen promotes it.,Estradiol is produced by the cells in the breast to stimulate the production of estrogen.
Many of his pet birds were malnourished. They all died prematurely.,Malnourishment is a leading cause of premature death in pet birds.,Malnourishment is the leading cause of death among young birds in the United States.
Tom came into contact with a rhinovirus patient. Tom got bronchitis.,Rhinoviruses cause a bronchitis.,Bronchitis is a viral infection of the bronchial epithelium.
John polished the diamond perfectly. Many beautiful facets appeared which makes the diamond more shining.,Facet is the flat polished surface on a diamond.,Diamonds have brilliant aspects.
More and more habitats of wild animals are well protected. The diversity of animals increased.,Habitats increase diversity.,Wildlife includes habitats.
How well the vessels function can be defined. People use reactivity to indicate the vessels function.,Reactivity is an indicator of how well the vessels function.,Reactivity is the ability of a vessel to respond to environmental conditions.
The god inparted me a divine life changing my nature. I got regeneration.,Regeneration is the impartation of divine life effecting a change in the believer's nature.,Growth is the process of transforming one's nature into another.
There are three rails in my hometown. The third rail is the most busy one.,Trains use third rails.,Rails cause a lot of congestion.
Jack watched a soccer game. Jack saw wonderful headshots.,Headshots are part of soccer.,Headshots are the most common type of headshot in soccer.
Mary is a policewomon in that community. She helps residents in the community a lot.,Policewomen help communities.,Policewomen serve their community.
They studied the chemical components of several fruits. They found both kiwis and papaya have proteine-splitting enzyme.,Papayas contain a proteine-splitting enzyme see kiwis.,Proteine is a member of the proteine splicing enzyme family.
Jerry used tomography when observing the earth. He got a three-dimensional image of the earth.,Tomography prodcues a three-dimensional image of the earth.,Tomography is the process of using three dimensional images to study the earth's surface.
Jack ate an expired can and went into a coma. He was diagnosed with botulism.,Botulism is one of the most life-threatening bacteria in canned foods.,Botulism is a type of brain damage caused by the ingestion of toxic substances.
Voldemort is a potential evil mage. Voldemort became the ultimate villain in the end.,Potential has negative effects.,Mage is the ultimate evil magus.
Lucy doesn't  know why the girl was killed in the trailer. She decided to watch the whole movie.,Movies provide answers.,Movies have violence.
This research needs to choose a creature with no head but complex life. The researchers finally chose shellfish.,Shellfish have no head but they nevertheless lead a complex life.,Shellfish have no heads but are very similar to other marine animals.
All kinds of white blood cells were damaged to some extent. Neutrophils known as granulocytes were damaged.,Neutrophils are members of a class of white blood cells known as granulocytes.,Granulocytes are the most sensitive of all white blood cell types to damage caused by inflammation.
He was sick of mud. He was unwilling to go to the dams.,Dams consist of mud.,Dams have mud.
Mary grabbed a bunch of some kind of plant with foliage and asked what' s it. Her mother told her that it was rosemaries.,Rosemaries have foliage.,Rosemaries are one of the most common plants found in the wild.
Tom wants to split a wooden stick in two. He cut the stick with a saw.,Saws have sharp edges.,Saws are made of wood.
This old man died. His whole life ended.,Dies end with lives.,Death is the end of a man's life.
"Everyone is equal. No matter what their gender is, all people can take any transportation.",Planes carry women.,Transportation is the ability of all people to get from one place to another at a time.
The mice tried to look around for the softest material. They built nests with the materials they found.,Mice make nests lined with the softest materials they can find.,Necks are softest on the inside of their shells but hard on the outside.
Tom was standing in the river and can't move a step. His legs are entangled in duckweed.,Duckweeds grow in water.,Duckweed is one of the most poisonous plants on the planet.
Mike is crazy about the ancient crafts of Oman. He adores rug making desperately.,Rug making is one of the ancient crafts of Oman.,Rugs are the oldest of all ancient art.
The ancestors took their descendants to a new habitat. The latter became used to it.,Descendants adapt to conditions.,Fertilization is the process of transferring genetic material from one species to another.
There are several kinds of mites living in the chicken coop. These mites attack poultry.,Poultry mites several kinds of mites attack poultry.,Mites are a type of mite known as a spermatogenetic.
Susan used John's intellectual property without permission. Susan was accused for plagiarism.,Plagiarism is the use of someone else's intellectual property.,Plagiarism is a serious offense against the intellectual property rights of a person under the laws of the United.
Tom studies Transduction in microrganisms. He often learns about bacteria for his study.,Transduction is a widespread phenomenon in bacteria.,Microscopic studies are the study of the bacterial genome.
The little boy collected some paper used in stamp printing. He liked to touch the watermarks on  it.,Watermarks appear frequently in paper used in stamp printing.,Paper is a type of watermark.
This insect lives on the cuticle of plants. It only stays on all the aboveground green parts of plants.,Cuticle is on all the aboveground green parts of plants.,Cuticles are the outermost part of the insect's body.
John's GCSE results will be out soon. His grades will determine whether he can go to university or not.,Outcomes will have different effects.,Gardas are examinations of a person's academic ability.
Those steep slopes are covered with vegetation. You can see many muskrats burrow there.,Muskrats prefer to burrow on steep slopes covered with vegetation.,Muskrats graze on rocky surfaces.
The stream in front of Tom's house almost dried up in winter when there was little precipitation. The water level of the stream rises sharply in spring.,Springs bring heavy rain.,Fluctuations cause a decrease in the flow of water from the stream to the ground.
Neurological processes haven't been thoroughly studied. Attention is still under study.,Attention is a neurological process.,Nervous system functions have been implicated in the development and maintenance of attention-deficit hyperactivity disorder.
We want to make rum. We need a machine and sugar cane.,Rum is made by crushing sugar cane between heavy rollers.,Rim is made from sugar cane but it can also be made from other types of sugar cane as well.
An old monkey is sick with embolis in its brain. Different sizes of embolis are detected in its arteries.,Emboli enter penetrating arteries of monkey brain in relation to their size.,Emboli are the size of a grain of rice.
A billfish saw a shrimp in a distance. The shrimp was hunted down by the billfish.,Billfishes rely on their vision for hunting.,Billfishes hunt prey.
A hyena got lost in the forest. It was scard and wanted to found its partners.,Hyenas live in communities.,Hyenas are solitary animals with only one partner.
The closest relatives of parsley in the family Apiaceae was Tom's new interest. His collegues told him the location of Parsnips.,Parsnips are among the closest relatives of parsley in the family Apiaceae.,Parsnips are close relatives of the common parakeet.
Atresia means impassability. Follicles show features of impassability at all stages of development.,Follicles undergo atresia at all stages of development.,Follicles are the most sensitive of all the mollusks to the effects of environmental stress.
There was a lot of litter in this water. Many marine animals died because of this.,Litter is deadly to wildlife especially marine animals.,Litter is the main cause of death in marine mammals.
He exposed the juice to oxygen for a period of time. Vitamin C in the juice is decomposited.,Decomposition is enhanced by exposure to oxygen.,Vitamins can also be excreted from the blood by the body as a result of respiration.
He was injected with androgen. The result showed that it stimulated proliferation of bone cells in vitro.,Androgens directly stimulate proliferation of bone cells in vitro.,Amyloid cells are a key component of the growth-promoting process of bone cell proliferation.
Hinds stayed in feeding areas provided by humans until winter. Hinds tended to stay away from these areas.,Hinds tend to stay away from feeding areas provided by humans in winter.,Hind is a seasonal food source.
The hippo was locked in a cage under the sun. It was severely sunburnt.,Hippos can develop severe sunburn if they are unable to avoid the sun.,Hippos can be very sensitive to the heat of the day.
He studies the largest object in the asteroid belt. He knew much about Ceres.,Ceres is the largest object in the asteroid belt.,Ceres is one of the largest objects in our solar system.
The chemist combined anhydrides with a variety of nucleophiles. He saw that nucleophilic acyl substitution reactions was taking place.,Anhydrides undergo nucleophilic acyl substitution reactions with a variety of nucleophiles.,Nucleophilia is the most common way in which a protein can be synthesized by an enzyme.
Signals of high frequency were transmitted to tuataras. They made no response.,Tuataras respond only to low frequencies.,Tuataras have low frequencies.
A group of  men went to a restaurant for dinner. Most of them chose to eat steak.,Blokes love steak.,Steak is one of the most popular meals of the day.
Acid was added to the sample of urine. Some substances reacted with the acid.,Urine contains substances.,Dihydrofolate reacts with the alkaloids in the urine to produce a chemical reaction.
A chemist examined the chemicals contained in marijuana. It turned out to contain chemicals called cannabinoids.,Marijuana contains chemicals called cannabinoids.,Cannabis is one of the most commonly used drugs in the United States.
"Tom is a student majoring in the paleoanthropology. He ,ainly studies about the human evolution.",Paleoanthropology is the scientific study of human evolution.,Paleoanthropologists are concerned with the development of the human species over the last several million years.
Ancestors of dogs and wolves lived in the same circumstances for thousands of years. Now their offsprings are almost the same.,Circumstances lead to convergent evolution.,Offsprings occur in many different locations throughout the life of a dog or wolf.
Kittiwakes are always hungry. Kittiwakes eat amount of food every day.,Kittiwakes have healthy appetite.,Kitties have a hard time digesting the food they are eating.
