Jessy tried to use words to modify a noun and a verb. She selected an adjective for noun and an adverb for verb.,Adjectives modify nouns while adverbs modify verbs.,Adverbs are adjectives used to modify nouns or adjectives.
Amy lives by the side of Neoprene. She feels coolness in summer and warmth in winter.,Neoprene is cool in summer warm in winter.,Neoprene is used as a warm-up agent in the treatment of colds.
He has good cultural adaptability. He quickly accepted the culture of eating sashimi.,Acculturation is simply the acceptance of culture traits by one group from another.,Sashimi is a well-known dish made from seaweed.
Lucy's father was dignosed with the atherosclerosis many years ago. Lucy was diagnosed with atherosclerosis.,Atherosclerosis is probably the result of the action of many genes.,Atherosclerosis is the most common cause of death in older adults.
Hydrogen perxoide tends to be unstable here. Tom keeps the laborator at room temperature.,Hydrogen perxoide is stable at room temperature.,Perxoides are stable in the presence of hydrogen perxide.
This farmer wants to build a fish pond. The farmer found a suitable area.,Areas provide water.,Ponds have natural habitats.
The experiment is to realize imitation of Thunder. It is based on the principle of movement of air.,Thunder is also the result of moving air.,Thunder is a motion of the air in the direction of the object being mimicked.
The progestin implanted in Lucy's body worked. A state of false pregnancy was established in her body.,Progestins act by establishing a state of false pregnancy in women.,Pregnancy is a state of true pregnancy when the progesterone implant is inserted into the uterus.
We honored a kind of peaceful reconciliation of human difference. We hold the belief of pacifism.,Pacifism is the belief in peaceful reconciliation of human differences.,Paganism is the belief in a peaceful resolution of human differences.
His body has a poor untake of amino acids. The doctor recommended that he take a supplement of arginine to help depolarization of gut cells to improve.,Arginine helps to depolarize gut cells leading to an improved uptake of the amino acids.,Arginine is an amino acid found in the body's natural state of disinhibition.
I cooked Fucus vesiculosus for my father. His thyroid function was promoted for more intake of iodine.,Fucus vesiculosus promotes thyroid function as an excellent source of iodine.,Fucus is a good source of iodine in the diet.
Lucy's dog has suffered the brucellosis. It cannot be a mother any more.,Brucellosis affects almost all mammals.,Brucellosis is a disease of the mother's immune system caused by a viral infection.
Tom's banjo doesn't work any more. He changed the string and it works again.,Banjos have string.,Banjo is a string-based instrument.
The soap I made contained Myrrh. The user of the soap tried to obtain such a  fragrant resin from trees.,Myrrh is a fragrant resin obtained from a tree.,Myrrh is a fragrant resinous resin found in the bark of several species of shrubs.
The medicine prescribed by the doctor before Tom did not work. The doctor prescribed some more delavirdine for him.,Delavirdine can interact with other drugs.,Delavarotine is one of the most commonly used anxiolytic medications in the treatment of.
The filter-feeding shellfish ate some algae containing toxins. Toxins remain concentrated in the shellfish.,Toxins produced by the algae remain concentrated in the filter-feeding shellfish.,Toxins are a common cause of food poisoning in the marine environment.
The doctor said that we should not undercooked and raw pork. The purpose is to prevent trichinosis.,Trichinosis is a preventable disease.,Trichinoses is a bacterial infection caused by the bacterium bacillus subtilis.
"Officers need to go through professional training before taking up the post. When we come across an emergency, we should call for professional help from officers in time.",Officers possess expert knowledge.,Procedures require professional assistance.
There are a lot of various animals in the forest. The viper is the most poisonous one.,Vipers possess characters.,Vipers are the most venomous of all the vipers.
Tom is going to join a party. Tom is practicing quadrille for dancing with his girlfriend.,Quadrille is dance music.,Quadrille is a dance-like movement in which one side of the body is turned inward while the other.
He often eats psyllium. He is still healthy.,Psyllium has no harmful side effects.,Psyllium is a naturally occurring substance found in the body as a natural preservative.
This enthic group has survived for thoudsands of years. Their descendants must be good at adapting to conditions.,Descendants adapt to conditions.,Thoudsants adapt to environmental conditions.
Tom swallowed the bulb. He was poisoned by the active components.,Bulbs contain active components.,Bulbs contain active ingredients.
A child sees a piece of cake on the table. Saliva flows out of his mouth.,Mouths produce saliva.,Cakes have saliva.
The boy curiously followed the flow of the creek. He found a river finally.,Creeks flow into rivers.,Creeks lead to rivers.
Materials stored in the factory are of high flammability. Anything causing fire is not allowed here.,Flammability is the tendency of a chemical to burn.,Flammability is a measure of the relative amount of carbon dioxide in the atmosphere.
Little Emma is four years old. The doctor confirms that she does not suffer from autism.,Autism is a developmental disability identified during the first three years of life.,Autism is a neurological condition characterized by deficits in the brain's ability to process electrical impulses.
She had dependency on drugs. She ended her days in poverty.,Dependency causes the individual to fall into poverty.,Depression is a leading cause of death among young people in the United States.
Gorge hates the smell of all onions in the onion family. He dislikes the Scallions known as green onions as well.,Scallions commonly known as green onions are in the onion family.,Scallions are a member of the green onion family known as scallions.
People always like to look at the blue sky and white clouds outside the window. They always sit in the innermost seat of the plane.,Planes have windows.,Blue is the outermost colour of the sky.
Tom feels his stomach aches. He was diagnosed with hemias.,Hernias can occur if the abdominal wall is weakened.,Hemias is a condition in which the blood vessels in the stomach become inflamed.
Tom bought a lot of specialty from Beijing. Jack drove a car to pick up Tom and the specialty.,Automobiles have trunks.,Specialty is a term used to describe the quality of a product sold in a particular market.
John had HIV virus infection. His immune system broke down.,Aids is acquired immune deficiency caused by a virus.,Immunity is the ability of the body to break down a virus.
Biologists observed the molting of isopods. He found that they shed half of their exoskeleton each time.,Isopods shed half of their exoskeleton at a time when they molt.,Isopods have a half-life of about two to three years.
He has been smoking cigarettes for four years. His finger has been stained with the cigarette.,Cigarettes have significant effects.,Cigarettes have a chemical smell similar to alcohol.
"Speaking requires the vibration of the vocal cords, which are located in the throat. Vibrations of the vocal cords cause sore rubbing of the throat.",Talking causes sore throats.,Vibration is a common cause of sores on the voice.
Faces of all audience watching the horror were projected on the screen. They saw their own pale faces.,Faces have pale skin.,Pale faces are the faces of all viewers watching a horror film.
Tom looked at the object representing the pioneers' hardships. He perceived misery.,Misery is due to the perception of objects.,Miserability is defined as the state of being unable to live a meaningful life.
The patient's global cerebral functions were affected. He lost his orientation.,Orientation is a global cerebral function.,Orientation is the ability of the brain to orient itself to the body in response to external stimuli.
Lucy was doing a research about the material of the underwears. She found that all of them contain polypropylene.,Polypropylene is common in underwear fabrics as it wicks water efficiently.,Polypropylene is one of the most common materials in the underwear.
There are many mosquitoes around Jack's house. He bought a lot of mosquito repellent.,Repellents are very useful in protecting against mosquito bites.,Mosquito repellents are very effective at repelling mosquitoes.
The baby kept crying when he was hungry. The mother feeds the baby milk.,Infants feed whole cow milk.,Pregnant women feed their babies by sucking on the baby's stomachs to release the infant's blood.
A farmer uses a lot of fertilizer to grow his crops. The crops grow well.,Fertilizers act to supplement the natural deficiency as well as the depletion of nutrients.,Fertilizer is used to keep the soil moist during the growing season.
Emotional stress led to his lower body temperature. He senstively felt the coldness of his extremities.,Extremities are sensitive to cold caused by emotional stress.,Sensitization is a physiological response to the cold of the body.
Tom was infected with anthrax. He is very ill.,Anthrax is a bacteria.,Anthrax is a highly contagious disease caused by the bacterium spermatogenes.
The experimenter is examining the rays in the wood. The experimenter selected both kinds of wood.,Rays are present in both types of wood.,Wood has rays.
Jackson wanted to study the creatures of the human family. Jackson's professor recommended him to study hominids.,Hominids are creatures of the human family.,Hominids are one of the most common members of the chimpanzee family.
Grandma and the bank signed a trust agreement. No one other than grandma can know the contents of the document.,Trusts are private documents.,Trusts are agreements between parties to an agreement.
Tom has a healthy heart. He has a good blood circulation in his body.,Blood is circulated around the body through blood vessels by the pumping action of the heart.,Heart disease is the leading cause of death in young adults.
Tom's restaurant is not doing well. He took to the streets to drum up customers.,Solicitation is the act of soliciting.,Restaurants attract customers.
China is getting better and better. Chinese will no longer be bullied.,Realm has power.,Bullying is a natural part of life in the western hemisphere.
The sound of farting suddenly echoes in the quiet classroom. The whole classroom burst into laughter.,Farts caused laughter.,Farts are a common cause of laughter in children.
"In order to make resonance, Tom tries to shake a tub of water with different frequencies. The water keeps vibrating without his shaking as he tries the same frequency as the water has.",Resonance is the vibration set up by contact with an object sympathetic to the frequency.,Reverbability is a measure of the rate of change in the amount of energy in a given moment.
There are many molas in the sea. Molas are easily bitten by other fish.,Molas have a reduced skeleton with fewer vertebrae than any other fish.,Molas are a common cause of death in marine mammals.
This research needs a sessile animal. The teacher suggested that they choose crinoids.,Crinoids are sessile.,Crinoids are a salt-based laxative with little effect on the digestive tract.
"Tom saw the grass germinate. A few days later, Tom observed the taproot of the grass.",Grasses establish a taproot upon germination.,Taproots are the main source of germination in most plants.
Billy is reading about fat. Billy reads about lipids in his reading.,Lipids are a type of fat.,Lipids are the building blocks of the body's natural defense system.
I compared the faces of a cougar and a cat. I thought they have similar faces.,Cougars look like cats.,Cougars have similar facial features to cats but they have a slightly different set of facial features than cats.
Jane is a master of Selvage. The finished lengthwise edges of her fabric works were always wonderful.,Selvage refers to the finished lengthwise edges of the fabric.,Selvage is the finish of a piece of fabric.
Tom threw a piece of glass onto the quartz. . The glass broke into pieces. .,Quartz is harder than glass.,Quartz is made of quartz.
The lactating woman took hydrazine. The baby had related adverse reactions.,Hydralazine passes into breast milk.,Hydrazine can also cause birth defects in some women.
Harvests make farmers happy. Farmers like autumn.,Autumn is also a time to harvest.,Autumn is a time when the seasons change from warm to cool.
There are many tools in front of the tree. Tom recognizes the stick at once.,Sticks have several features.,Sticks have two distinct shapes.
This thruse has hurt its wings. It has difficulty in flying.,Thrushes have wings.,Swing problems can be caused by a number of causes.
Tom is willing to offer help. He often assists people.,People need assistance.,Help is the act of helping another person.
Hellbenders have strong limbs as sea creatures. They always walk under the sea.,Hellbenders can swim but usually walk along the stream bottom using their sturdy limbs.,Sea-dwellers have strong legs as sea urchins.
Gardeners offer the lawn enough fertiles. The lawn has nitrogen inside.,Lawns eat nitrogen.,Nertilis is a nitrogen-fixing agent.
Tom took a visit to the national park. Tom saw a lot of pretty birds in the national park.,Parks have birds.,Pheasants are one of the most common bird species found in the wild in the United States.
Tom has exploring the secret of the nature. He found lectins everywhere.,Lectins occur ubiquitously in nature.,Lectins are the most abundant of all proteins in the body.
The two soldiers are very anxious. There is a great tension between them.,Tension is produced by anxiety.,Tension is caused by anxiety.
Recording polarity is very important in John's experiment. John recorded the the phase of the signal in relation to the string vibration.,Polarity refers to the phase of the signal in relation to the string vibration.,Polarity is a measure of the relative position of the string vibrational field over a given period of time.
They were all fleshes. They had appearances.,Flesh has appearances.,Fleshes have appearances.
John attempted to cheat in the exam. John's cheating was discovered by the teacher and his exam was terminated.,Attempts have consequences.,Accusations are false statements made by a person who has been falsely accused of an act of deceit.
Foxes have been hunting well recently. It saves surplus prey.,Foxes cache excess food when the hunting is good.,Hunters catch prey.
I appreciated the works of the artist. I understood the the objectification of his feeling.,Art is the objectification of feeling.,Art is a representation of the human experience of the body in relation to the external world.
The bad guy wants to infere the program. He found some bullies to make destructions to the building.,Interference involves destruction.,Bullies cause destruction.
The researcher wants to oxidize the ammonia into nitrate. The researcher made a nitrification.,Nitrification is defined as the oxidation of ammonia to nitrate.,Nitrifiers are a type of oxidizing agent used in the manufacture of ammonia.
Everyday there are some germs invading our body. The immunity system defend our body from being ill.,Immunity is our body's ability to defend itself against foreign substances like germs.,Immunity is the body's defense mechanism against infection.
The students in this class have graduated long time ago. They all have good jobs now.,Students find successful careers.,Income is a measure of the quality of life of a group of people.
The Man hunted Bilbies. He was caught for killing endangered species of Australian marsupials.,Bilbies are an endangered species of Australian marsupials.,Bilbies are one of Australia's most endangered species.
There is a sedge in Tom's garden. He found the sedge was bending.,Sedges tend to have angled stems.,Sedges have a tendency to bend when they are in direct contact with each other.
The situation in the Middle East is uncertain. Some experts intend to make some assessments.,Experts to assess situations.,Assessments focus on the region's ability to respond to a variety of threats.
Mike lives in a basin. He is used to the seasonal variability.,Basins have seasonal variability.,Basins have seasonal variation.
Tom likes to open a new book on the first day of a month. Tom can finish reading at least one book a month.,Reads start with open books.,Newcomers start with a few books a month in mind.
There is a lot of acidic soil in this place. Horticulturists plant heaths and eventually make a sea of flowers.,Heaths thrive in acidic soil.,Horticulturist plants prefer acidic soil.
The programmer is detecting the data of object movement. Programmers detect through flows.,Flows are streams of multimedia data moving through a sequence of objects.,Flow is a flow of data from one object to another.
The oosperm of a frog is in the egg. A tadpole would first feel the world in the pond.,Frogs start their lives in eggs in ponds.,Tadpoles swim in the water when they are about to ovulate.
"They mixed cement with water by pouring it into the pit. After stirring for a while, the contents of the pit synthesize new substances and harden.",Cement reacts chemically with water to cause concrete to harden.,Cement dissolves in water.
Tom has symptoms of keratinization. The doctor suspects that Tom has squamous cell carcinoma.,Keratinization is one of the diagnostic features of squamous cell carcinoma.,Keratinization is the most common type of cancer in the human papillomavian vein.
Tom used his prizes as evidence. His potential to win another game was demonstrated.,Evidence demonstrates potential.,Prizes have potential.
Harbin Institute of technology uniformly installed the building with heat insulation panels. Harbin Institute of technology is the best school to keep warm in winter in China.,Insulation is designed to prevent heat flow.,Harmonization is the most effective way to keep heat from escaping from buildings during the coldest months of.
Many public utilities in this city were very old. They will be installed with new facilities.,Utilities install facilities.,Utilities use electricity to generate electricity.
Air enters cavities. Pouches can let air in.,Pouches contain cavities.,Cavities have cavities to allow air to enter through the cavity.
Insects had contact with his nake wound. He was infected with virus.,Insects pick up viruses.,Necks are one of the most common types of necrotic lesions on the skin of the insect.
The weather is hot in summer. Inside the house is cooler than outside.,Homes have air conditions.,Fluctuations can also cause a change in the amount of moisture in the air during the winter.
I was doing experiment on a tundra. I could barely see trees around.,Tundra is an environment characterized mainly by the absence of trees.,Tundra is a very remote region of the tropics with only about a fifth of the planet's surface.
Conducting electricity without resistance won't emit a lot heat. The Superconductive material can keep the temperature of the circuit.,Superconductivity is the property of some materials to conduct electricity without resistance.,Superconductivity is a measure of the electrical conductivity of a material over a wide range of electric fields.
The leader's effort had positive effect on the staff. His encouraging plan had more effectiveness.,Effects alter effectiveness.,Staff have positive effects.
The plane needs to fly smoothly. The plane should not fly in troposphere at last.,Tropospheres have characteristics.,Tropospheric turbulence is the most common cause of a plane's slow flight.
He brought his cat to the vet. The vet asserted it has panleukopenia.,Vets make definite diagnoses.,Panleukoparism is a rare disease characterized by a lack of oxygen in the blood.
The enemy dropped a lethal biological weapon. Many people were infected with anthrax.,Anthrax is a lethal biological weapon.,Anthrax is a highly infectious disease caused by the bacterium erythema brucella.
"Peter was particularly good at cryptanalysis at the military academy. During the exercise, he successfully cracked the other party's cryptosystem.",Cryptanalysis studies the breaking of cryptosystems.,Cryptosystems are the root cause of many computer attacks.
He doesn't have a method at all. His trials always fail.,Trials look at methods.,Trial is the process of discovering hypotheses.
Yeasts are prokaryotes. Yeast has no chromosomes.,Procaryotes lack nuclei.,Yeast is a non-homologous member of the family of protozoan chromosomes.
Scientists need to keep hydrogen peroxide stable. Scientists keep hydrogen peroxide at room temperature.,Hydrogen perxoide is stable at room temperature.,Hexane is the most stable of all gases in the atmosphere.
They walked along the stream. They found lots of fish in it.,Streams possess fish.,Streams have fish.
There is grass on alpine steppes. Yaks were fed on alpine steppes.,Yaks graze on alpine steppes.,Yaks graze on the grasses on the slopes of the mountains of the taiga.
This brand is dominant. People believe its good quality.,Dominance suggests quality.,Quality is defined as the quality of a product over time.
The Humidity was decreased. The drying time of all paints changed except for latexes.,Humidity affects the drying time of all paints but especially latexes.,Lime is a drying time dependent on the amount of moisture in the air.
Patients with cancer always have sudden pain. The doctor will give them some meperidine.,Meperidine is a widely prescribed opioid analgesic used in a variety of clinical situations.,Meperidine is a nonsteroidal anti-inflammatory drug used to treat acute pain in the body.
Ten people in the hospital have schizophrenia. Nine of them usually have delusions and the other sometimes does.,Delusions are common among individuals with schizophrenia.,Pseudomania is a mental illness characterized by an inability to control one's thoughts.
Tom wants to be refrained from sex. He became a monk.,Abstinence is the choice to refrain from sex.,Monks are people who have no desire to sexual intercourse.
I don't want others know I followed Paganism. I hide the way of my life.,Paganism is a certain way of life.,Paganism is the practice of hiding one's true nature from the outside world.
The gametophyte was formed. Fertilization was ready to start.,Fertilization occurs in gametophytes.,Gametophytes are the first line of defense against bacterial infection.
He lays on the sofa and watches TV every day. He soon suffered from obesity.,Television contributes to obesity.,Obesity is one of the leading causes of death from all causes in the United States.
Atoms in oxygen molecules have a greater ability to attract electrons to themselves than nitrogen molecules. Oxygen is more electronegative than nitrogen.,Electronegativity is the ability of an atom in a molecule to attract electrons toward itself.,Oxygen attracts electrons to the nucleus of the atom while nitrogen is less so.
Dogs belong to canids. Dogs only have four legs.,Canids only have four toes.,Canids have four pairs of four toes on each side of their body.
His gum is inflamed. He had the same symptoms.,Inflammation causes same symptoms.,Gum inflames when it inflames.
The mitochondrion of the leave has been hurt. The leave is withered.,Mitochondrion also play a pivotal role in programmed cell death.,Mitochondrion is lost during the necrosis process.
The manager was greatly irritated by the low salary. He had strong response toward the salary.,Irritation triggers strong responses.,Responses are responses to a perceived situation.
The general killed all villagers there. All people in the village died.,Kill causes dies.,Murder is a crime of violence against humanity.
Tom made a lot of short-term investments with the government. He made a lot of profits.,Profit is the increase in wealth in a period.,Lenders make long-term investment decisions.
A number of artists are invited to the art exhibition. The art exhibition was a great success.,Artists demonstrate ability.,Artists have an interest in art.
Toby is very interested in the cliffs of Huashan Mountain. He goes climbing this summer vacation.,Cliffs cause a desire to climbs.,Climbing is a way of life on the slopes of mountains.
Alice got married last year. She got pregnant last week.,Wives become parents.,Marriage is the union of a man and a woman who have been together for at least one year.
His penis was pierced by a small wooden stick. His penis bleeds.,Penises fill with blood.,Pseudomies are the most common type of puncture on the penis.
Climates are different in the two places. The environments in the two places are also different.,Climates change environments.,Climates are the environments in which they are most similar.
Floats are made of lightweight wood. Balsa is suitable for making a float.,Balsa is light.,Balsa is made from lightweight wood with a high density of carbon monoxide.
Tom went to the park. Tom got stinged by mosquitoes.,Ecosystems possess mosquitoes.,Stingers are a type of insect repellent used to control mosquito bites.
Mary is a three-year-old baby. Many of her peers are suffering from tonsillitis.,Tonsillitis occurs most commonly during early childhood.,Tripples are common in children under the age of two due to a variety of medical conditions.
Tom utilized lyophilization to dispose some lethal virus. The virus became inactive.,Lyophilization causes inactivation.,Lyophilizations are the most effective way to kill the most lethal virus in the body.
The population of the area is decreasing. There is profound negative effects.,Reductions may have profound negative effects.,Impact is a term used to describe the impact of population changes on the health of the population over time.
The female elephant in the zoo is getting old. It began to grow tusks.,Tusks are occasionally present in older females.,Tusks are one of the oldest teeth in the animal kingdom.
The frail Maria coughs for a long time. Her lungs are obviously inflamed.,Coughs make inflammation.,Pneumonia is the most common cause of death in elderly people with chronic bronchitis.
He dug up a snapdragon. He found it had shallow root.,Snapdragons have shallow roots.,Snapdragons have shallow root when they are at the bottom of their food chain.
The researchers conducted cloning experiments. Some people were responsible for producing genetic copies.,Cloning involves producing genetic copies.,Cloning is the process of producing a new set of genetic copies from a single nucleotide.
My father only wants individual liberty but not individual responsibility. What he follows is not real libertarianism.,Libertarianism is all about individual liberty coupled with individual responsibility.,Libertarianism is a system of individual freedom but a system based on the individual responsibility of the state.
A cell line is differentiated. It is different from other cell lines now.,Differentiation is the specialization of a cell line.,Cell lines are one of the most common types of pluripotent stem cells.
The tumble caused his dehiscence. The previously joined wound separated.,Dehiscence is separation of a previously joined wound.,Dislocation is the separation of previously joined wounds.
He bought a big mat. He used it to cover the floor.,Mats cover surfaces.,Mat is made of metal.
Jerry was in need of a design for his company's logo. Jerry turned to an enterprises and paid to get a good design.,Enterprises offer designs.,Expedition is the process of getting an idea from start to finish.
Some animals hibernate in winter. Their prey can escape the catastrophe at this time.,Survival changes over periods.,Hibernation is the process of escaping from a situation in which they are no longer able to defend themselves.
I had a margay. I bought fruit for it.,Margays eat fruit.,Margaritas are a type of fruit made from grapes.
He wanted some paraffin. He created a substitution reaction.,Paraffins react by substitution.,Paraffin is a natural substance found in the food chain.
The summary of Tom's paper had a mistake. Professors picked the mistake up immediately.,Summaries receive attention.,Professors make mistakes.
The altimeter malfunctions and fails to measurie atmospheric pressure. The plane's altitude cannot be determined.,Altimeters determine a plane's altitude by measuring atmospheric pressure.,Altimetry is the measurement of the relative position of an object in the atmosphere over a given time period.
"Steven yearns for the results of the college entrance examination. Naturally, Steven is always in a state of anxiety.",Anxiety is the natural state of human nature.,Innocent until proven guilty.
"Tom put sweat, tears and saliva on the silk. Silk has different variations.",Perspiration makes silk yellow.,Silk has layers of silvery-white silk.
Mike became a superman in his dreams. He thought he can fly even when awake.,Dreaming cause confusion.,Supermen are capable of flight even when they are asleep.
A fly was capture by a spider. The fly was eaten by the spider.,Arachnids are generally hunters.,Spiders eat insects.
Now we are tourists. We start our trips.,Tourists begin trips.,Tourists start trips.
There is a bee on the periwinkle. The periwinkle has no reaction.,Periwinkles are vegetarians.,Periwinkle is a member of the family of flowering plants called the eucalypts.
The amateur observed the shape of moon via images from satellites. Its shape ranges from highly irregular to sphere.,Moons range in shape from highly irregular to spheres.,Pseudo-solar in shape.
The villager was terrified of the geysers. His father told him it was just a manifestation of volcanic activity.,Geysers are a manifestation of volcanic activity.,Geysers are a type of volcanic eruption.
Parents are more traditional than children. Parents have diffrent styles from children.,Tradition influences style.,Differences in style reflect differences in the degree of social interaction among individuals.
Tom mixex some reactants together in a beaker to see what will happen. The beaker becomes too hot and breaks into pieces.,Reactants have energy.,Reactants break up into small pieces when they are too hot to hold their shape.
Too many calories do a lot of harm to human body. The current trend is to restrict calorie intake.,Restrictions can have many health benefits.,Calorie restriction is the process of reducing the amount of food in one's body over a period of time.
My grandma was diagnoised as cataract. She doesn't believe for her unffected visual acuity.,Cataracts never affect visual acuity.,Diagnosis is based on the presence of a lesion on the retina.
Maria listens to music when she is in a bad mood. She will be relieved.,Music has power.,Depression is a common side effect of music.
Tom forgot to bring water to do the experiment. He melted some ice.,Solution is when one substance dissolves into another one.,Ice is a type of liquid.
Tom took a lot of antibiotics. The doctor prescribed him a lot of probiotics to keep him healthy.,Probiotics are the opposite of antibiotics.,Probiotics are the most common antibiotics used to treat bacterial infections.
Sharry was busy with her study recently and she felt tired. Her parents invites her to take a trip together.,Entertainment takes places.,Travellers take trips.
Cats eat mice. They have kept an ecological balance.,Creatures prey on animals.,"Mice are omnivores feeding on a wide variety of plants including grasshoppers, eucalypt."
Scientists test soldiers' excrement. Scientists have detected toxic substances.,Soldiers excrete toxic substances.,Excretion is a common cause of death in soldiers who have been exposed to high levels of lead in their blood.
The hostess hosted so many different contests. She got tired of announcing similar result involving prizes.,Contests see similar outcomes.,Prizes are announcements made by the hostess.
Jackson's father is going to build a house. Jackson's uncle brought in the machines.,Machines use in construction.,Machines are used to build houses.
John wants to see the water vapour. He heated the water to almost 100 degrees when he saw the vapour.,Liquids only give off vapour as they approach their boiling point.,Vapour is a gas produced by the combustion of water molecules in the air.
They had an accident in their Jeep. The windows were broken but they were safe.,Jeeps have windows.,Jaguars have windows.
Woody deciduous plants become bold and brown in late autumn. Grapevines become bold and brown in late autumn.,Grapevines are woody deciduous plants.,Grapevines are one of the most common flowering plants in early autumn when they are most abundant.
They put the monarchs in the refrigerator. Soon it froze to death.,Monarchs freeze in very cold temperatures.,Kingdoms freeze to death when they are too cold to eat.
Tom wanted some flowers to decorate his bedroom. His mother bought some foxgloves home.,Flowers include foxgloves.,Foxgloves are a type of plant native to the Australian rainforests.
Tom and Lucy divorced. Children were adjudged to be adopted by their mother.,Moms carry children.,Adoption is the process of assigning a child to a parent who has given birth to at least one other human.
Sharry was busy with her study recently and she felt tired. Her parents invites her to take a trip together.,Entertainment takes places.,Traveling is a time when people come together to enjoy a good time together.
All creatures in nature are in balance. They structured a healthy ecosystem.,Ecosystems are living communities.,Ecology is the study of the relationships among different aspects of life on a planet.
I saw many triggerfish in underwater wolrd in Maldives. They have very beautiful colors.,Triggerfish have colourful appearances.,Triggerfish are very sensitive to light.
Tom is a student who was majoring in psychology. He always does researches about mental activities of human beings.,Psychology is primarily concerned with the study of mental activity.,Psychology is the study of the mind as a whole.
His skin is very dry. He used body moisture and got better.,Moisture has high relative humidity.,Moisture helps to keep the skin from drying out by keeping it from being able to retain moisture.
People have two faces towards family and others. There is no quarrel at home.,Families will have peace.,Differences in facial features can be explained by differences in the expression of facial features.
The director asked the staff about the product knowledge. The staff was able to answer them all.,Staff have good product knowledge.,Staff have knowledge.
The gardener sowed grass seed on this land. He was afriad of the appearance of mice.,Mice love to eat grass seed.,Mice have an unusual ability to appear to be bipedal in their locomotion.
Tom was sent to the kindergarten. The teacher played games with him and other children.,Toddlers play games.,Teachers play games with children.
Blood runs through the body via vessels. Blood brings oxygen to thw body in this way.,Vessels carry oxygen.,Thwarts carry oxygen through the blood through the vessels.
The metal on the gearbox is oxidized. The car doesn't work any more.,Oxide contributes to breakdowns.,Oxidization is the process of removing metal from the metal gearbox.
He urinated beside the icons. He was blamed for insult the religious paintings.,Icons are religious paintings.,Archaeologists have found evidence of urination on iconoclasts.
The Phagocytes utilized oxidants. They helped kill bacteria they have engulfed.,Phagocytes use oxidants to help kill bacteria they have engulfed.,Phagocytes are a type of oxidant-degrading cell.
The dry season is here. The tardigrades began to curled themselves up into a little ball called a tun.,Tardigrades can survive dry periods by curling up into a little ball called a tun.,Tardigrade nesters emerge from the dry season in early spring.
This kind of animal mainly preys on Scavengers. They live in wilderness regions.,Scavengers inhabit wilderness regions.,Scavengers are a type of scavenger primarily used as a source of food by the livestock industry.
His elphant is watching a bird that is really far. The elephant can't see it clear.,Elephants have moderate vision.,Elphins are very sensitive to light.
Antelopes often migrate. They live well.,Antelopes adapt to conditions.,Elopods are one of the few terrestrial mammals to migrate from their home range.
There are much more creatures in the sea than on land. Brachiopods occupy a large part of marine creatures.,Brachiopods are extremely abundant.,Brachiopod numbers range from about one-third to two-thirds of the size of their terrestrial relatives.
Linda is good at typing. She is hired by a potent company for her potential to make interest.,Types have high potential.,Typing is the ability to write in a language other than the native language of the user's choice.
Tom put some frog eggs in the pond at home. There are many little frogs in the pond.,Frogs start their lives in eggs in ponds.,Frogs feed on small fish such as lizards.
The teacher asked what is the translation from printed matter to spoken language. Blair's answer is narration.,Narration is the translation of print to spoken language.,Imagination is the process of translating a spoken language into a spoken one.
Jerry was making a plane. He had to make instruments.,Airplanes have instruments.,He made instruments.
Logan lacks red blood cells in his body. Doctors inject some erythropoietin into his bone marrow.,Erythropoietin stimulates the bone marrow to produce red blood cells.,Erythropoetin is used to stimulate the production of red blood cell-derived neurotrophic factor in.
Mary was pregnant. Mary suffered from heartburn.,Heartburn tends to be common during pregnancy because of increased pressure on the stomach.,Heartburn is a common cause of death in women who are at high risk of developing a preterm birth.
Tom added a modal particle to the sentence. This polite sentence instantly turned into a curse.,Addition has different effects.,Modal particles are particles of a language spoken by millions of people.
Tom suffered convulsions. Tom has an electrical malfunction of the brain.,Convulsions are uncontrolled body movements set off by an electrical malfunction of the brain.,Convulsions are caused by electrical stimulation of the central nervous system.
Lily has a sudden cardiac arrest. Lily died of cerebral ischemia.,Ischemia refers to an inadequate amount of blood flowing to the brain.,Catecholamines are present in the brain as well as in the central nervous system.
Tom put the maggots in ice water. They're all dead.,Botflies are killed by freezing temperatures.,Maggots live in water.
John wanted to take in extra nutrients. He ate broccolis.,Broccolis contain additional nutrients.,"Broccolis is a rich source of extra-vitamins A, B6, C, E,."
Tom likes reading books. He is very knowledgeable.,Books have great values.,Reading is the process of acquiring knowledge.
There are more workers on the square than in the company. The number of workers on the square being employed is more than the number of those in the company.,Agglomeration is also related to the availability of labour.,Employment is the total number of employees on the job at one time.
Lucy and Tom are not ready for the coming of a baby. They will take actions for contraception.,Contraception is seen as the responsible way to act.,Contraception is a method of contraception used to prevent pregnancy in the first trimester.
They are having a lunch break. It is about 3锛00pm now.,Lunch breaks are often at noon.,Breakfasts start at around noon.
Tom suffers from asthma. He is allergic to dust.,Dust mites many people with asthma are allergic to dust mites.,Asthma is caused by the presence of dust in the air.
"I observed  the natural ends the tips of a linear chromosome through the microscope. After looking at the data, I learned that it is called telomere.",Telomeres are the natural ends the tips of a linear chromosome.,Telomeres are the natural end of a line of linear chromosomes through the lens of the optical microscope.
He has embezzled money from the public fund. He's under arrest.,Embezzlement is a specific intent crime.,Empowerment is the act of transferring money from one person to another without the consent of the recipient.
Andy saw a hellbound in my house yesterday. It must be her imagination.,A hellhound is a mythical creature.,Illusion is the art of making things appear to be true.
