Many public utilities in this city were very old. They will be installed with new facilities.,Utilities install facilities.,"

Electricity is the most common source of electricity in the city."
Air enters cavities. Pouches can let air in.,Pouches contain cavities., Cavities have openings.
Insects had contact with his nake wound. He was infected with virus.,Insects pick up viruses.,"

Hepatitis C is the most common cause of infection in humans."
The weather is hot in summer. Inside the house is cooler than outside.,Homes have air conditions.," In winter, temperatures are warmer."
I was doing experiment on a tundra. I could barely see trees around.,Tundra is an environment characterized mainly by the absence of trees., I couldn't see the water.
Conducting electricity without resistance won't emit a lot heat. The Superconductive material can keep the temperature of the circuit.,Superconductivity is the property of some materials to conduct electricity without resistance.,"

Superconductivity is the most common type of conductive material."
The leader's effort had positive effect on the staff. His encouraging plan had more effectiveness.,Effects alter effectiveness.,"

""I think it's a very good thing,"" he said."
The plane needs to fly smoothly. The plane should not fly in troposphere at last.,Tropospheres have characteristics.,"

Pilots need to fly in the troposphere."
He brought his cat to the vet. The vet asserted it has panleukopenia.,Vets make definite diagnoses.,"

""Panleukopause is the most common cause of death in cats."
The enemy dropped a lethal biological weapon. Many people were infected with anthrax.,Anthrax is a lethal biological weapon.,"

Anthrax is the most common form of infectious disease in the United States."
"Peter was particularly good at cryptanalysis at the military academy. During the exercise, he successfully cracked the other party's cryptosystem.",Cryptanalysis studies the breaking of cryptosystems.,"

Ciphering is one of the most difficult aspects of cryptanalysis."
He doesn't have a method at all. His trials always fail.,Trials look at methods., He's not going to go through the trials.
Yeasts are prokaryotes. Yeast has no chromosomes.,Procaryotes lack nuclei., Yeasts have two pairs of chromosomes.
Scientists need to keep hydrogen peroxide stable. Scientists keep hydrogen peroxide at room temperature.,Hydrogen perxoide is stable at room temperature., Hydrogen peroxide is a stable isotope.
They walked along the stream. They found lots of fish in it.,Streams possess fish.,"

""I have never seen anything like this before,"" he said."
There is grass on alpine steppes. Yaks were fed on alpine steppes.,Yaks graze on alpine steppes.,"

Alpine steppe grass is a good source of grass."
This brand is dominant. People believe its good quality.,Dominance suggests quality., It's the name of the brand.
The Humidity was decreased. The drying time of all paints changed except for latexes.,Humidity affects the drying time of all paints but especially latexes.,"

Paint drying is the process of drying paint."
Patients with cancer always have sudden pain. The doctor will give them some meperidine.,Meperidine is a widely prescribed opioid analgesic used in a variety of clinical situations., Meperidine is used to treat pain.
Ten people in the hospital have schizophrenia. Nine of them usually have delusions and the other sometimes does.,Delusions are common among individuals with schizophrenia.,"

Schizophrenia is a mental disorder characterized by delusions."
Tom wants to be refrained from sex. He became a monk.,Abstinence is the choice to refrain from sex., He has no sexual desire.
I don't want others know I followed Paganism. I hide the way of my life.,Paganism is a certain way of life., I have no control over what happens to me.
The gametophyte was formed. Fertilization was ready to start.,Fertilization occurs in gametophytes., Gametophytes are the most abundant group of mammals in the world.
He lays on the sofa and watches TV every day. He soon suffered from obesity.,Television contributes to obesity.,"

""I have a lot of weight in my body,"" he said."
Atoms in oxygen molecules have a greater ability to attract electrons to themselves than nitrogen molecules. Oxygen is more electronegative than nitrogen.,Electronegativity is the ability of an atom in a molecule to attract electrons toward itself., Oxyphosphorus is the most abundant element in the atmosphere.
Dogs belong to canids. Dogs only have four legs.,Canids only have four toes., Canids have six legs.
His gum is inflamed. He had the same symptoms.,Inflammation causes same symptoms.,"

Gum is one of the most common causes of gum disease in children."
The mitochondrion of the leave has been hurt. The leave is withered.,Mitochondrion also play a pivotal role in programmed cell death.,"

Mitochondrial damage is caused by oxidative stress."
The manager was greatly irritated by the low salary. He had strong response toward the salary.,Irritation triggers strong responses.,"

""I have no problem with it,"" he said."
The general killed all villagers there. All people in the village died.,Kill causes dies.,"

In the early hours of the morning, at around 5:30 a."
Tom made a lot of short-term investments with the government. He made a lot of profits.,Profit is the increase in wealth in a period., He is a very good businessman.
A number of artists are invited to the art exhibition. The art exhibition was a great success.,Artists demonstrate ability.,"

Artists from all over the world have been invited to participate in the exhibition."
Toby is very interested in the cliffs of Huashan Mountain. He goes climbing this summer vacation.,Cliffs cause a desire to climbs.,"

Huashan is one of the most beautiful mountain ranges in the world."
Alice got married last year. She got pregnant last week.,Wives become parents.,"

""I was very happy,"" she said."
His penis was pierced by a small wooden stick. His penis bleeds.,Penises fill with blood.,"

""I have no idea what happened to my penis,"" he said."
Climates are different in the two places. The environments in the two places are also different.,Climates change environments., Climates have different levels of elevation.
Floats are made of lightweight wood. Balsa is suitable for making a float.,Balsa is light., Balsam fir is also used to make floats.
Tom went to the park. Tom got stinged by mosquitoes.,Ecosystems possess mosquitoes., Tom was taken to the hospital.
Mary is a three-year-old baby. Many of her peers are suffering from tonsillitis.,Tonsillitis occurs most commonly during early childhood., The condition is caused by bacteria in the intestines.
Tom utilized lyophilization to dispose some lethal virus. The virus became inactive.,Lyophilization causes inactivation.,"

Lyophilized virus is the most common cause of death in the United States."
The population of the area is decreasing. There is profound negative effects.,Reductions may have profound negative effects., The number of people living in the area increases.
The female elephant in the zoo is getting old. It began to grow tusks.,Tusks are occasionally present in older females.,"

Tusks are a part of the elephant's body."
The frail Maria coughs for a long time. Her lungs are obviously inflamed.,Coughs make inflammation.,"

Maria is also prone to coughing."
He dug up a snapdragon. He found it had shallow root.,Snapdragons have shallow roots.,"

""I'm going to take a bite,"" he said."
The researchers conducted cloning experiments. Some people were responsible for producing genetic copies.,Cloning involves producing genetic copies., Others made copies of themselves.
My father only wants individual liberty but not individual responsibility. What he follows is not real libertarianism.,Libertarianism is all about individual liberty coupled with individual responsibility., He does not believe in individual liberty.
A cell line is differentiated. It is different from other cell lines now.,Differentiation is the specialization of a cell line., Cell lines have different characteristics.
The tumble caused his dehiscence. The previously joined wound separated.,Dehiscence is separation of a previously joined wound.,"

""I'm sorry,"" he said."
He bought a big mat. He used it to cover the floor.,Mats cover surfaces.,"

""I didn't have a lot of room."
Jerry was in need of a design for his company's logo. Jerry turned to an enterprises and paid to get a good design.,Enterprises offer designs., He wanted to create a logo.
Some animals hibernate in winter. Their prey can escape the catastrophe at this time.,Survival changes over periods.,"

Hibernation is a natural part of the hibernation process."
I had a margay. I bought fruit for it.,Margays eat fruit., I didn't have to eat it.
He wanted some paraffin. He created a substitution reaction.,Paraffins react by substitution.,"

Paraffin is the most common form of food in the United States."
The summary of Tom's paper had a mistake. Professors picked the mistake up immediately.,Summaries receive attention., Tom was wrong.
The altimeter malfunctions and fails to measurie atmospheric pressure. The plane's altitude cannot be determined.,Altimeters determine a plane's altitude by measuring atmospheric pressure.,"

In the mid-1950s, a flight from Los Angeles to Washington, D."
"Steven yearns for the results of the college entrance examination. Naturally, Steven is always in a state of anxiety.",Anxiety is the natural state of human nature.,"

Steven's anxiety is caused by the fact that he has to enter the college."
"Tom put sweat, tears and saliva on the silk. Silk has different variations.",Perspiration makes silk yellow., Silk is the most viscous of all the silk fibers.
Mike became a superman in his dreams. He thought he can fly even when awake.,Dreaming cause confusion.,"

He is one of the most famous superheroes in the Marvel Universe."
A fly was capture by a spider. The fly was eaten by the spider.,Arachnids are generally hunters.,"

Spider bite is one of the most common causes of death in humans."
Now we are tourists. We start our trips.,Tourists begin trips., We spend a lot of time in the city.
There is a bee on the periwinkle. The periwinkle has no reaction.,Periwinkles are vegetarians., Bees do not respond to light.
The amateur observed the shape of moon via images from satellites. Its shape ranges from highly irregular to sphere.,Moons range in shape from highly irregular to spheres.,"

NASA's Cassini spacecraft is the largest satellite ever to orbit Saturn."
The villager was terrified of the geysers. His father told him it was just a manifestation of volcanic activity.,Geysers are a manifestation of volcanic activity.,"

""Geysers are very common in the area,"" he said."
Parents are more traditional than children. Parents have diffrent styles from children.,Tradition influences style., Children tend to be older than parents.
Tom mixex some reactants together in a beaker to see what will happen. The beaker becomes too hot and breaks into pieces.,Reactants have energy., The reactants are separated from the reactants.
Too many calories do a lot of harm to human body. The current trend is to restrict calorie intake.,Restrictions can have many health benefits.,"

Calorie restriction is the process by which people lose weight."
My grandma was diagnoised as cataract. She doesn't believe for her unffected visual acuity.,Cataracts never affect visual acuity.,"

Diagnoisation is one of the most common causes of blindness."
Maria listens to music when she is in a bad mood. She will be relieved.,Music has power.,"

Lyrics Edit

A good mood is one of the most important aspects of a person's life."
Tom forgot to bring water to do the experiment. He melted some ice.,Solution is when one substance dissolves into another one.,"

""I'm going to have a glass of water,"" he said."
Tom took a lot of antibiotics. The doctor prescribed him a lot of probiotics to keep him healthy.,Probiotics are the opposite of antibiotics.,"

""He's a very good person,"" he said."
Sharry was busy with her study recently and she felt tired. Her parents invites her to take a trip together.,Entertainment takes places.,"

""I don't want to go back to school,"" she said."
Cats eat mice. They have kept an ecological balance.,Creatures prey on animals.,"

Mice eat small amounts of food."
Scientists test soldiers' excrement. Scientists have detected toxic substances.,Soldiers excrete toxic substances.,"

Methanol is one of the most widely used drugs in the world."
The hostess hosted so many different contests. She got tired of announcing similar result involving prizes.,Contests see similar outcomes.,"

""I don't want to have to announce the winner of a contest."
Jackson's father is going to build a house. Jackson's uncle brought in the machines.,Machines use in construction., The machines provide electricity.
John wants to see the water vapour. He heated the water to almost 100 degrees when he saw the vapour.,Liquids only give off vapour as they approach their boiling point.,"

""I think it's going to be very difficult to get rid of it,"" he said."
They had an accident in their Jeep. The windows were broken but they were safe.,Jeeps have windows.,"

""We didn't have any injuries."
Woody deciduous plants become bold and brown in late autumn. Grapevines become bold and brown in late autumn.,Grapevines are woody deciduous plants.,"

Grapevines are the most abundant plant in the United States."
They put the monarchs in the refrigerator. Soon it froze to death.,Monarchs freeze in very cold temperatures.,"

""Kingdom is a place of death."
Tom wanted some flowers to decorate his bedroom. His mother bought some foxgloves home.,Flowers include foxgloves.,"

""I don't have a lot of money,"" he said."
Tom and Lucy divorced. Children were adjudged to be adopted by their mother.,Moms carry children., Lucy was the only child in the family.
Sharry was busy with her study recently and she felt tired. Her parents invites her to take a trip together.,Entertainment takes places.,"

""I'm going to spend the rest of my days at home,"" she says."
All creatures in nature are in balance. They structured a healthy ecosystem.,Ecosystems are living communities.,"

Ecosystems have the ability to adapt to changes in environment."
I saw many triggerfish in underwater wolrd in Maldives. They have very beautiful colors.,Triggerfish have colourful appearances.,"

Maldives is one of the most biodiverse countries in the world."
Tom is a student who was majoring in psychology. He always does researches about mental activities of human beings.,Psychology is primarily concerned with the study of mental activity., He has a passion for the study of psychology.
His skin is very dry. He used body moisture and got better.,Moisture has high relative humidity.,"

He has a lot of scars."
People have two faces towards family and others. There is no quarrel at home.,Families will have peace.,"

""I don't have any problems with people."
The director asked the staff about the product knowledge. The staff was able to answer them all.,Staff have good product knowledge.,"

""We have a very high level of knowledge in the field,"" said the director."
The gardener sowed grass seed on this land. He was afriad of the appearance of mice.,Mice love to eat grass seed.,"

Gardens are small mammals."
Tom was sent to the kindergarten. The teacher played games with him and other children.,Toddlers play games.,"

""He was very active in the classroom."
Blood runs through the body via vessels. Blood brings oxygen to thw body in this way.,Vessels carry oxygen., Oxygen is needed to maintain a healthy body temperature.
The metal on the gearbox is oxidized. The car doesn't work any more.,Oxide contributes to breakdowns.,"

Suspension is made from a carbon-fiber alloy."
He urinated beside the icons. He was blamed for insult the religious paintings.,Icons are religious paintings.,"

""I have a problem with people who urinate in public,"" she said."
The Phagocytes utilized oxidants. They helped kill bacteria they have engulfed.,Phagocytes use oxidants to help kill bacteria they have engulfed.,"

Phagocytes are the most abundant source of oxidants in the body."
The dry season is here. The tardigrades began to curled themselves up into a little ball called a tun.,Tardigrades can survive dry periods by curling up into a little ball called a tun., The tun is the main source of moisture in the water.
This kind of animal mainly preys on Scavengers. They live in wilderness regions.,Scavengers inhabit wilderness regions.,"

Scavengers are scavengers."
His elphant is watching a bird that is really far. The elephant can't see it clear.,Elephants have moderate vision.,"

Elphins are solitary animals."
Antelopes often migrate. They live well.,Antelopes adapt to conditions.,"

Paleontologists have studied paleontology since the early 20th century."
There are much more creatures in the sea than on land. Brachiopods occupy a large part of marine creatures.,Brachiopods are extremely abundant., They live in the water.
Linda is good at typing. She is hired by a potent company for her potential to make interest.,Types have high potential.,"

She is also very good at writing."
Tom put some frog eggs in the pond at home. There are many little frogs in the pond.,Frogs start their lives in eggs in ponds., Frog eggs hatch in the spring.
The teacher asked what is the translation from printed matter to spoken language. Blair's answer is narration.,Narration is the translation of print to spoken language.,"

Blair's translation of spoken language is as follows:

""Speech is speech."
Jerry was making a plane. He had to make instruments.,Airplanes have instruments., He didn't have a lot of instruments.
Logan lacks red blood cells in his body. Doctors inject some erythropoietin into his bone marrow.,Erythropoietin stimulates the bone marrow to produce red blood cells.,"

Red blood cells are part of the immune system."
Mary was pregnant. Mary suffered from heartburn.,Heartburn tends to be common during pregnancy because of increased pressure on the stomach.,"

Pregnant women have a high risk of developing heartburn during pregnancy."
Tom added a modal particle to the sentence. This polite sentence instantly turned into a curse.,Addition has different effects.,"

Curse is a term used to describe the effect of a curse on a person."
Tom suffered convulsions. Tom has an electrical malfunction of the brain.,Convulsions are uncontrolled body movements set off by an electrical malfunction of the brain., He is unable to communicate with others.
Lily has a sudden cardiac arrest. Lily died of cerebral ischemia.,Ischemia refers to an inadequate amount of blood flowing to the brain.,"

Lily's death was caused by a heart attack."
Tom put the maggots in ice water. They're all dead.,Botflies are killed by freezing temperatures., Maggots are one of the most common causes of death in the United States.
John wanted to take in extra nutrients. He ate broccolis.,Broccolis contain additional nutrients., Broccolis is a rich source of calcium.
Tom likes reading books. He is very knowledgeable.,Books have great values., He has a great sense of humor.
There are more workers on the square than in the company. The number of workers on the square being employed is more than the number of those in the company.,Agglomeration is also related to the availability of labour.,"

The number of employees is one of the most important determinants of productivity."
Lucy and Tom are not ready for the coming of a baby. They will take actions for contraception.,Contraception is seen as the responsible way to act.,"

Pregnancy is a life-threatening event."
They are having a lunch break. It is about 3锛00pm now.,Lunch breaks are often at noon.,"

I have to go to work."
Tom suffers from asthma. He is allergic to dust.,Dust mites many people with asthma are allergic to dust mites., He has asthma attacks.
"I observed  the natural ends the tips of a linear chromosome through the microscope. After looking at the data, I learned that it is called telomere.",Telomeres are the natural ends the tips of a linear chromosome., Telomere is the end of a chromosome.
He has embezzled money from the public fund. He's under arrest.,Embezzlement is a specific intent crime.,"

Criminal charges have been filed against him."
Andy saw a hellbound in my house yesterday. It must be her imagination.,A hellhound is a mythical creature.,"

I have no idea what she is thinking."
Intuition cannot be tested yet. Some people does not believe intuition.,Intuition is the act of knowing without the use of rational processes., Others do not believe in the power of intuition.
The farmer has put a pond liner on the road. There is no water in the soil.,Pond liners keep water from seeping into the soil., The pond liner is used to irrigate crops.
The dog brought fleas to the ward. The sick people were biten.,Fleas bite sick people.,"

""Fleas are a common cause of disease in dogs."
The workers are required to protect topsoil from wind erosion. They planted rows of trees as shelterbelts.,Shelterbelts are rows of trees to protect topsoil from wind erosion.,"

Wind erosion is the most common cause of erosion in the United States."
Scientists are studying the state of unresponsiveness to a specific known antigen. Scientists named it tolerance.,Tolerance is a state of unresponsiveness to a specific known antigen.,"

Tolerance is a measure of how well the immune system responds to a particular antigen."
Researchers found a primate that ate leaves in the forest. They are called langurs in the literature.,Langurs are leaf-eating monkeys part of the primate family.,"

Langurs eat leaves."
He has rainwater on his fingers. He shouldn't have contact with electricity to avoid electric shock.,Rainwater conducts electricity.,"

""Electricity is a very powerful source of heat."
The hunter intended to make the warble uglier. He plucked all its plumages.,Warblers have plumages.,"

""Pleasants have a long life cycle,"" he writes."
Einstein accumulated experience in barriers. He eventually succeeded in becoming a great inventor.,Barriers contribute to success.,"

He is best known as the inventor of the transistor."
The flakes fell on the back of penguins. They shook their backs off the flakes.,Penguins shake backs.,"

Penguins have been known to shake their backs from a variety of ways."
This is a book about dynamics. This book introduces changes in the state of something.,Dynamics is the study of change in the state of something., Changes have consequences.
One of Tom's ramjet needs energy. Tom added some paraffin oil to the ramjet.,Ramjets are jets without moving parts burning cheap fuel like paraffin oil.,"

Paraffin is a type of oil used in jet fuel."
"The Chinese army showed super capacity in the war and won a great victory. The Chinese commander said that thanks to the right strategy,.",Strategies carry capacity.,"

China's military is very strong."
The one-year-old Tom's teeth began to stick out of his gums. Tom's mother said he was teething.,Teething is when baby teeth start coming through the child's gums.,"

Tom's teeth have a long history in the world of dentistry."
John has experienced field survival. He was bited a lot by mosquitoes.,Skin attracts mosquitoes., He is an avid outdoorsman.
Farmers planted some trees in the zone. The trees almost all died.,Zones suffer from pollution.,"

Pests have also been found in the area."
Penicillin is now outdated because our excess use of it. Researchers produced Penicillinases to deal with this problem.,Penicillinases are newly evolved enzymes developed in response to our excess use of penicillin.,"

Pentacycline is the most commonly used antibiotic in the United States."
The baby is growing up. He can't wear his former clothes.,Size changes over years., He has no shoes.
Wang breathed small droplets of water contaminated by the bacteria. Wang was infected by the bacteria.,Infection is caused by breathing small droplets of water contaminated by the bacteria.,"

Wang died from the infection."
These years he had accumulated abundant experience. He had evolution more quickly.,Experience contributes to evolution.,"

""Evolution is the process by which animals adapt to new environments."
Tom is making steamed buns. He put some amines in the bowl.,Amines are bases., He takes a bite.
Streptomyces scabies found in soil where John grew potatoes. The potatoes he grew had russet disease and were therefore inedible.,Streptomyces scabies causes a serious disease.,"

John grew potatoes at the same time as other people growing potatoes."
The Sawfly is to lay eggs. It flies to a plant stem.,Sawflies lay eggs in plant stems., The egg is laid in the middle of the stem.
Tom listens to music when he is tired of studying. He felt noticeably more relaxed.,Songs activate learning in both hemispheres of the brain.,"

Musicians tend to listen to music during the day."
Gastropods are relatively soft. They can be easily hurt.,Gastropods are single coiled shells.,"

Habitat

In the tropics, they are found in tropical areas of the world."
Tom followed the flamingo to go back their habitat. He found that there are a lot of flamingos.,Flamingos live in groups.,"

""I've seen a lot,"" he said."
I had a Colonoscopy check. I got terrifed of the instrument for examining the whole colon.,Colonoscopy uses an instrument capable of examining the whole colon., Colonoscopies are very common in patients with colon cancer.
Emily likes to sell processed chickens. Frozen chickens weigh more and make more money.,Chickens have lower live weight., Frozen chicken is the main source of meat in the United States.
Jack has been working for railroads for many years. He is familiar with all special procedures.,Railroads have special procedures.,"

""Railroads have one of the best safety procedures in the country,"" he said."
The propeller is working. The metal shaft is spinning.,Propellers turn metal shafts., The propeller spins.
He went to learn to skate today. He skated for hours on the rink.,Skates  glides., He's a very good skater.
"There is a report about the daily life of the president. The president has a reasonable schedule, regular exercise and a substantial schedule of work.",Presidents have active lifestyle., He is well-behaved.
The engine has broken. Tom found a adhesive with top viscosity.,Adhesive has degrees., He applied the adhesive to the top of the engine.
The man has commited sins such as robbery. He gets paralysis.,Paralysis is a picture of the result of sin., He is paralyzed from the waist down.
Lucy gave birth to twins but couldn't afford the living of them. She sent them into different strange families.,Twins raise in different environments.,"

Diana was raised by her adoptive parents."
Cathy likes to keep bees in her spare time. Cathy wears special clothing to protect herslef.,Beekeepers use special clothing to protect themselves from stings.,"

Cathy is a well-known beekeeper."
Scientists wants to explore something related to carbamic acid. They have found urethanes and carbonic acid.,Urethanes are esters of carbamic acid a half amide of carbonic acid.,"

Carbamic acid is a chemical compound found in the body."
John wants to know how chromatids appear. The teacher asked him to observe the anaphase of spindle fibers division.,Chromatids move apart during anaphase by the spindle fibers., Chromatids are very sensitive to light.
Tom likes geology and biological. He chooses to study paleontology.,Paleontology is the biological part of geology., Geology is a field of study.
The fisherman stopped the movement of the crab. The crab caught the fisherman's hand by its pincers.,Crabs wave their pincers in the air as a defense when they are disturbed.,"

""I'm going to kill him,"" the fisherman said."
Air bubbles developed in the water column. Tensiometers failed.,Tensiometers fail when air bubbles develop in the water column.,"

Fluids cause bubbles."
There are hammerheads in the aquarium. They consume a lot of sweets every day.,Hammerheads have sweet teeth., The most common type of hammerhead is found in the wild.
He was in need of money. He sold his artifacts for a large of money.,Artifacts have values.,"

""I didn't have the money,"" he said."
The heart contracted. The valves of the heart closed.,Valves close the ostia when the heart contracts.,"

A valve is a valve in the heart."
I have a sweet tooth and feel dizzy sometimes. My doctor wants me to be tested for diabetes.,Dizziness can be a symptom of diabetes reflecting dehydration from high blood sugar., I have diabetes.
Tom has observed that there some leaves attaching to the trunk. He recognized that it is a plam.,Palms are monocots as evidenced by their leaf attachments to their trunks.,"

Plamplums have leaves attached to their trunk."
Tom's heart beat faster because of smoking. The doctor injected Tom with amiodarone.,Amiodarone decreases the effects of chemicals on the heart., Tom's heart beats faster because he smokes.
The soldier was thinking how to kill the dragon. He excluded the usage of posion.,Dragons are immune to poison.,"

Possion is a method of killing dragons."
I catch a fever. Fleas bite me today.,Fleas bite sick people., I don't know if it's a fever or something else.
Jack's country is at war. He was resettled in Russia.,Resettlement occurs when the refugee has no hope of returning safely to the home country., He is a Russian citizen.
Tom wants to made some cider. Tom stores some apple juice.,Cider is made from fermented apple juice., Tom is a cider maker.
Historians studied the characteristics of human society in various eras. They found that the enactment of law was an essential cornerstone of social development.,Legislation is the genetic code of society., Law is the process by which a society is established.
John gave us a formal presentation of his idea. More people in us were attracted by it.,Presentation draws further attention., I think there is a lot of interest in it.
The Cockroaches infected Tom. Tom might have salmonella.,Cockroaches carry diseases like salmonella., Salmonella is the most common cause of food poisoning in humans.
Linda likes to rub her nostrils with her fingers. She often gets nosebleeds.,Nosebleeds are due to the rupture of small blood vessels in the lining of the nose.,"

Molly is one of the few people in the world who does not have a nosebleed."
The man will have a baptism next week. He will make a public confession in the presence of others.,Baptism is a public confession made in the presence of others.,"

Baptism is a sacrament."
Tom eats an egg every day. His body is filled with protein.,Eggs are also one of the most complete sources of amino acids the building blocks of protein., Protein is a good source of energy.
Lucy is suffering from depression. The doctor gave her some protriptyline.,Protriptyline is in a class of drugs called tricyclic antidepressants.,"

""I thought it was a good thing,"" she said."
I poured some oil on the polyester by accident. It was stained easily.,Polyester is stained easily by oils., I didn't want to have to go through the process again.
Tom opened an attachment to an unknown email. His computer was infected with a virus.,Attachments are the primary way a virus is spread.,"

""I have been infected with this virus,"" he said."
Phototropism indicates growth towards the light. A plant grows towards the light throughout the life.,Phototropism is known to take place throughout the life of a plant.,"

Plant growth is a process in which light is produced."
There were some uncontrollable conditions here. Bossed took care of them immediately.,Bosses see live conditions.,"

Bossed didn't take care of the rest of the animals."
Strong interactions occur between gluons. These carrier particles were close to each other.,Gluons are the carrier particles of strong interactions., Gluons are the most abundant gluon in the human body.
Tom keeps pheasants in the summer. Pheasants are going through the brooding stage.,Summer marks the brooding stage in the pheasant reproductive cycle.,"

Pheasant is a term used to describe the state of an animal."
The biologist present a picture of Hominoids. The audience saw they have no tails.,Hominoids also lack a tail.,Hominoids do not have tails.
The microwave has complex circuits. It releases radiation when at work.,Circuits involve in radiant energy., The microwave is one of the most powerful sources of radiation in the world.
The intensity of the electricity lost. The result is in an attenuation.,Attenuation is the loss of intensity., This attenuation is due to the amount of energy lost.
Tarsiers are the dominant inhabitants in this forest. The most advanced group of prosimians in relation to the higher primates controlled this forest.,Tarsiers are probably the most advanced group of prosimians in relation to the higher primates., Prosimians have a wide range of habitats.
Spring comes. Most bonsai just begin their growth cycle.,Spring is when most bonsai begin their growth cycle., Bonsai grow to maturity in mid-summer.
The cottonmouth is hungry. He ate another snake.,Cottonmouths eat other snakes including their own kind.,"

Cottonmouths eat snakes."
Mike got a firefly. Mike fed it with some small insects.,Fireflies eat other insects., He then put it in the firefly's mouth.
The Middle East is short of fresh water. Some countries go to war because of fresh water.,Freshwater sustains life., The United States is the only country in the world that does not have fresh water supplies.
Asthma developing late in life doesn't have postive skin tests. He or she tends to be nonallergic.,Asthma developing late in life tends to be nonallergic without positive skin tests.,"

Pregnant women tend to have low blood pressure."
Lucy has a better awareness than Tom when doing work. Lucy was more successful than Tom.,Awareness enhances success.,"

Tom is less effective than Lucy."
This region is of great density. It has production from local people.,Production occurs in dense regions.,"

Cities tend to have large populations."
The cat was shaved on his back. The polka dotted ski under his fur of that part was revealed.,Cats are polka dotted under their fur., He wore a black coat with a white collar.
Tom lives on a prairie. His life is often disturbed by herds or terrible weather.,Prairie has disturbances., He has no control over the animals.
He wanted to eat some nuts to ingest folic acid. He bought some hazelnuts.,Hazelnuts provide the highest level of folic acid in the nut family.,"

""I didn't want to eat nuts,"" he said."
My dad knew his cancer. He bought packs of cigarettes.,Cancer causes smoking., He didn't smoke.
Liu Xuan has a strong ability to keep balance. She has got the first prize in the Olympics.,Balance is the ability to maintain posture without the urge to fall over.,"

Liu is one of the most talented athletes in the world."
A group of people came to the zoo to watch the bears. The bears hid in fear.,Bears are afraid of people.,"

""I have never seen a bear in my life."
Biologists use experiments to get proteins into the matrix. They found that chaperones bound to protein.,Chaperones bind to protein as it enter the matrix., Chaperones bind to proteins.
Remeber to wear a helmet when riding your motocar. It is of liitle use when a car accident really happens.,Helmets provide minimal protection.,"

Bicyclists have the right to wear helmets."
Eric carefully checked the properties of this building. Eric said this building has a majestic appearance.,Properties include appearances., He said it has a number of features.
The occurrence of Roseola has been investigated. The reported results were mainly involved the childhood stages.,Roseola is a common childhood disease., Roseola is a common cause of illness in children.
Jessy only eats vegetables. This is her lifestyles.,Vegetarianism is a lifestyle.,"

She eats a lot of vegetables."
Mark took some drugs known as mucolytics. The mucus in his lungs was decomposed.,Drugs known as mucolytics break up the mucus in the lungs., Mucolytic drugs can cause lung damage.
John fed the Sculpins with their fish food and herring eggbeds. The Sculpins ate both kinds.,Sculpins also feed on herring eggbeds.,"

Sculpins are known for their ability to eat a variety of invertebrates."
He is diagnosed with pancreatitis. He drank too much recently and his pancreas got inflammed.,Pancreatitis is inflammation of the pancreas.,"

Pancreatitis is the most common type of pancreatitis in the United States."
Tom was elected as a sheriff. He was reponsible for his own department.,Sheriffs have departments.,"

""I don't know if I've ever seen a sheriff in my life,"" he said."
They wanted to make bars. They bought lots of mental.,Bars are made of metal., They wanted to have a place where they could have a good time.
She is pregnant. He needs to use ultrasound to detect the condition of the fetus.,Ultrasounds are common in many pregnancies.,"

Pregnant women have an increased risk of pregnancy complications."
The bananas jack bought were overripe. Bananas give off a sweet smell.,Fruit emits an increasing amount of aromatic compounds as it gets riper.,"

Bananas are the most common fruit in the United States."
The professor asked the students to find natural satellites. The students pointed directly to the moons.,Moons are natural satellites.,"

""Satellites have been around for thousands of years,"" the professor said."
"To adapt to new environment, the human gene pool has undergone some changes. Human race has evoluted a little bit.",Microevolution is a change in the gene pool of a population often associated with adaptation., The gene pool is no longer as large as it used to be.
Using chemical stimuli is one of the aminal's instincts. Crabs can find food by their instinct.,Crabs can find food using chemical stimuli., They also have a sense of smell.
This guy believes in spiritualism. This guy got religion.,Spiritualism is considered a religion., He believes in the power of prayer.
The subjects were given steroids. The results showed a range of symptoms from insomnia to death among them.,Steroids have side effects ranging from insomnia to death.,"

Steroids have been used as an anti-inflammatory agent in the treatment of various diseases."
The food Tom ate contained bacteria. Tom suffered from  gastrointestinal illnesses.,Bacteria cause gastrointestinal illnesses.," Tom's symptoms include nausea, vomiting, diarrhoea and diarrhea."
He has something wrong with his muscles controlling the diaphragm. He can't stop his hiccups.,Hiccups are a nervous spasm of the muscles controlling the diaphragm., He's too weak to control them.
Tom has to overcome all the barriers in front of him. He finds that each barrier is more difficult than the former one.,Barriers have layers.,"

""I have to learn from my experience."
Researchers study the spawning habits of lampreys. Researchers found that lampreys lay eggs in the same way as salmon.,Lampreys are anadromous like salmon., Lampreys feed on fish and other aquatic invertebrates.
The CT images of Tom's lungs showed Fibrosis. The doctor's interpretation involved the affected functions of his lungs.,Fibrosis also affects the lungs.,"

Fibrosis is caused by inflammation of the airways."
The winter was freezing cold. Martens all survived the winter in special ways.,Martens have special ways of keeping warm during the winter.,"

Martens were able to stay warm during the winter months."
I saw pregnant turtles three days ago. I saw baby turtles this evening.,Turtles give birth to turtles.,"

Turtles are very small animals."
Tom felt something wrong with his body and went to hospital. The doctor asked him to do some examinations.,Examinations confirm diagnoses., He was told he would have to take a blood test.
